session_number,session_file,question_num,page_num,stem,choice_A,choice_B,choice_C,choice_D,matched_subcategory,match_score
3,03-SLIDES_acs-hyperlipidemia.pdf,3,14,"A 52 y.o. man has an acute myocardial infarction for which he had PCI with placement of two drug-eluting stents. Echo shows an EF of 35%. He is started on numerous medications at discharge. Which one of the following medications is more useful for symptom control than for improving mortality for this patient? Post-MI survival • ACE-inhibitors, ß-blockers, statins, and ASA improve survival post MI. • Dual anti-platelet therapy for at least a year if stents or grafts placed • Nitrates, calcium-channel blockers, and digoxin may improve symptoms but do not affect survival. Left bundle branch block • Can mask EKG changes of lateral, inferior or anteroseptal ischemia/infarction • Previously: LBBB with symptoms of MI managed as STEMI • 2013 guidelines: LBBB often not new and often not due to ACS. • Determine need for reperfusion with clinical picture, troponin, echo, and EKG interpretation with Sgarbossa criteria.",Atorvastatin (Lipitor),"Lisinopril (Prinivil, Zestril)",Metoprolol tartrate (Lopressor),Nitroglycerin,Acute Coronary Syndrome,0.25
3,03-SLIDES_acs-hyperlipidemia.pdf,4,16,"A 45-year-old man complains of acute, sharp chest pain relieved by leaning forward. On examination, you hear a pericardial friction rub. EKG follows.",,,,,Acute Coronary Syndrome,0.25
3,03-SLIDES_acs-hyperlipidemia.pdf,4,17,"A 45-year-old man complains of acute, sharp chest pain relieved by leaning forward. On examination, you hear a pericardial friction rub. Which of the following is the most appropriate treatment? Pericarditis • Common cause of chest pain in young adults, usually viral or idiopathic cause • Symptoms classically improved by sitting forward • Pain is due to inflammation • Treatment is NSAIDS (such as indomethacin or high-dose aspirin (2-4 g/day) Hyperlipidemia 2013 ACC/AHA Cholesterol Treatment Guidelines 4 statin benefit groups: 1. Individuals with clinical ASCVD 2. With primary elevations of LDL-C > 190 mg/dL 3. 40-75 yrs with diabetes and LDL-C 70-189 4. Without clinical ASCVD or diabetes, age 40-75, LDL-C 70-189, and estimated 10-year ASCVD risk >7.5% [Note: USPSTF uses threshold of 10% 10-year risk] Statin Intensity vs. Statin Benefit Group 1. Individuals with clinical ASCVD • Age < 75: High-intensity • Age > 75: Moderate-intensity 2. With primary elevations of LDL-C > 190 mg/dL • High-intensity 3. 40-75 yrs with diabetes and LDL-C 70-189 • Estimated 10-y ASCVD risk > 7.5%: High-intensity • Estimated 10-y ASCVD risk < 7.5%: Moderate-intensity 4. Without clinical ASCVD or diabetes, age 40-75, LDL-C 70-189 and estimated 10-year ASCVD risk of 7.5% or higher • Moderate-to-high intensity Statin Intensity vs. Statin Benefit Group 1. Individuals with clinical ASCVD • Age < 75: High-intensity • Age > 75: Moderate-intensity 2. With primary elevations of LDL-C > 190 mg/dL • High-intensity 3. 40-75 yrs with diabetes and LDL-C 70-189 • Estimated 10-y ASCVD risk > 7.5%: High-intensity • Estimated 10-y ASCVD risk < 7.5%: Moderate-intensity 4. Without clinical ASCVD or diabetes, age 40-75, LDL-C 70-189 and estimated 10-year ASCVD risk of 7.5% or higher • Moderate-to-high intensity Statin Intensity vs. Statin Benefit Group 1. Individuals with clinical ASCVD • Age < 75: High-intensity • Age > 75: Moderate-intensity 2. With primary elevations of LDL-C > 190 mg/dL • High-intensity 3. 40-75 yrs with diabetes and LDL-C 70-189 • Estimated 10-y ASCVD risk > 7.5%: High-intensity • Estimated 10-y ASCVD risk < 7.5%: Moderate-intensity 4. Without clinical ASCVD or diabetes, age 40-75, LDL-C 70-189 and estimated 10-year ASCVD risk of 7.5% or higher • Moderate-to-high intensity Statin Intensity High-intensity Moderate-intensity (>50% LDL-C reduction) (30% to <50% LDL-C reduction) Atorvastatin 10-20 mg Atorvastatin 40-80 mg Rosuvastatin 5-10 mg Rosuvastatin 20 mg Simvastatin 20-40 mg Pravastatin 40-80 mg Lovastatin 40 mg Fluvastatin 40 mg bid ASCVD risk calculator Information used in ASCVD risk calculator Age Total cholesterol Systolic blood pressure Gender HDL cholesterol Blood pressure lowering medication use Race Diabetes status Smoking status Use to calculate the 10-year risk for atherosclerotic cardiovascular disease in patients without clinical ASCVD, diabetes, or familial hyperlipidemia Discrimination vs. calibration The ACC/AHA ASCVD Risk Calculator (actually 4 different Pooled Cohort Risk Equations) offers: Very good discrimination – ability to differentiate those at high risk from those at lower risk Fair calibration – the equations tend to overestimate actual numeric risk Use the risk calculator as the “opener” in a risk discussion. Statin therapy: predictable CV risk reduction • The evidence report accompanying the 2016 USPSTF guidelines on Statins for Prevention of Cardiovascular Disease demonstrated that use of low-or moderate-dose statin therapy is associated with: • an approximate 30% relative risk reduction in cardiovascular events and in cardiovascular deaths • 10% to 15% relative risk reduction in all-cause mortality • The same relative risk reduction is seen with statin use in those with existing cardiovascular disease. 2018 ACC/AHA Cholesterol Treatment Guidelines • 2013 Guidelines were a paradigm shift (move from target LDL to risk-based approach) and emphasized lack of long-term RCT outcomes and lack of safety/side effect considerations • 2018 Guidelines did not change the core recommendations, but reconsidered LDL levels and non-statin therapies",Nitrates,NSAIDS,Beta blockers,Glucocorticoids,Cardiovascular Risk Reduction,0.8
3,03-SLIDES_acs-hyperlipidemia.pdf,5,23,"You are evaluating a 56-year-old male with history of hypertension and no prior tobacco use. His estimated 10-year ASCVD risk is 8.1% and he hesitates to start statin therapy ”unless it’s really necessary.” Which one of the following studies would be most appropriate to refine your evaluation of his ASCVD risk? Risk-enhancing factors in statin decision • Family history of premature ASCVD (male <55, female <65) • Persistently elevated LDL levels ≥ 160 mg/dl • Metabolic syndrome • Chronic kidney disease • History of preeclampsia or early menopause (age ≤40) • Chronic inflammatory disorders • High-risk ethnic groups (South Asian) • Triglycerides ≥175 mg/dl • Highly sensitive C-reactive protein >2.0 mg/L. • Ankle-brachial index (ABI) <0.9 • Lipoprotein(a) ≥50 mg/dl • Apolipoprotein B (apoB) ≥130 mg/dl • Also consider lifestyle changes, side effects, cost, and patient preference Coronary artery calcium testing In adults 40-75 yrs without diabetes and with LDL ≥ 70 mg/dl and 10-year ASCVD risk of ≥ 7.5% to 19.9%, consider measuring CAC to add to the decision discussion CAC = zero: lowers (but does not eliminate) risk; consider no statin unless diabetes, family history of premature CHD, or cigarette smoking CAC = 1-99: favorsstatin, especially after age 55 CAC >100 and/or 75thpercentile: initiate statin CAC measurement has no utility in patients already treated with statins. Statins are associated with slower progression of overall coronary atherosclerosis volume and reduction of high-risk plaque features, yet statins increase the CAC score. Fasting or not? • Fasting and nonfastingTC and HDL-C levels appear to have fairly similar prognostic value and associations with CVD outcomes. • Total cholesterol and HDL are both accurately measured in the nonfasting state, allowing calculation of non-HDL. • The unreliability of the Friedewald-calculated LDL-C levels appears to be greatest at lower levels of LDL-C (<70 mg/dL) and as triglycerides approach 400 mg/dL. If nonfasting triglycerides are >400 mg/dL, repeat lipid panel in a fasting state (assuming LDL is calculated using Friedewald equation).",Nuclear stress testing,Echocardiogram,Coronary artery calcium scoring,Cardiac catheterization,Cardiovascular Risk Reduction,0.4
3,03-SLIDES_acs-hyperlipidemia.pdf,6,26,"A 68-year-old woman has history of hypertension, type 2 diabetes, and MI which prompted placement of three drug-eluting stents last year. She takes pravastatin 40 mg daily but has not been able to tolerate higher-intensity statin therapy, despite multiple attempts. Which one of the following options would be most appropriate to further reduce her LDL cholesterol and ASCVD risk? Non-statin therapy In very-high risk individuals with LDL still ≥ 70 mg/dl on maximally tolerated statin, consider adding ezetimibe. • The combination of moderate-intensity statin and ezetimibe could potentially produce a level of ASCVD risk reduction similar to that produced by high-intensity therapy alone. In these patients, if LDL-C remains >70 mg/dL or non–HDL-C level remains ≥100 mg/dL, it is reasonable to add a PCSK9 inhibitor following a clinician– patient discussion about the net benefit, safety, and cost. PCSK9-focused agents • Proprotein convertase subtilisin/kexin type 9 (PCSK9) is the enzyme that clears LDL receptors • Injectable monoclonal antibodies bind to PCSK9, prolonging the function of LDL receptors • Evolocumab (Repatha) • Alirocumab (Praluent) • To date, no study has demonstrated a decrease in CVD mortality with PCSK9 inhibitors. • Inclisiran – an SQ-administered siRNA (small interfering) – decreases hepatic production of PCSK9 and reduces LDL by approximately 50%; no outcomes data (yet). Omega-3 fatty acids • Omega-3 fatty acids for the primary and secondary prevention of cardiovascular disease: 2018 Cochrane Systematic Review: • Increasing EPA and DHA has little or no effect on all-cause deaths and cardiovascular events (high-quality evidence) and probably makes little or no difference to cardiovascular death, coronary deaths or events, stroke, or heart irregularities (moderate-quality evidence). • REDUCE-IT: Cardiovascular Risk Reduction with Icosapent Ethyl for Hypertriglyceridemia • In patients with established CVD or diabetes plus other risk factors, 2g icosapent ethyl BID (in addition to statin); median 4.9y; primary endpoint: composite of CV death, nonfatal MI, nonfatal stroke, coronary revascularization, or UA • ARR (primary endpoint) = 4.8%; NNT = 21 • ARR (CV death) = 0.9%; NNT = 111 • ARI (AF/flutter) = 1%; NNH = 100 • ARI (serious bleeding) = 0.9%; NNH = 111 Statin-related myopathy • Myalgia (muscle complaints without CK elevations) • Myositis (muscle complaints with CK elevations) • Rhabdomyolysis (elevated CK levels, elevated creatinine) • Routine monitoring of CK not required • Discontinue statin if CK more than 10 times upper limit of normal (ULN) Answers 1. C 2. D 3. D 4. B 5. C 6. A","Ezetimibe, 10 mg daily","Extended-release niacin, 2000 mg daily","Evolocumab, 140 mg SQ every two weeks","Fenofibrate, 160 mg daily",Cardiovascular Risk Reduction,0.7
4,04-SLIDES_hypertension.pdf,1,6,"A 48-year-old female presents to clinic as a new patient. BP 172/110 in both arms; BMI 24.4; CV exam unremarkable. Medications: none, including no OTC supplements BMP: Na 144 mEq/L, K 3.3 mEq/L, Cr 0.68 mg/dL. If the patient’s hypertension should prove refractory to treatment, which one of the following tests is most likely to reveal the cause of her elevated blood pressure? Secondary Hypertension • Primary hyperaldosteronism is present in 5-10% of hypertensive patients and 7-20% of those with resistant HTN • Unprovoked hypokalemia further supports the diagnosis, although is not present in the majority of cases. • Diagnosis is based on the aldosterone:renin ratio • Sleep apnea is now the leading secondary cause of HTN, present in 30-40% of hypertensive patients and 60-70% of those with resistant hypertension. Renal Artery Stenosis • Most common cause: • Age < 30: fibromuscular disease • Age > 30: atherosclerotic disease • May present with: • Accelerated or resistant HTN, renal dysfunction, flash pulmonary edema • ACEI/ARB may worsen renal function and/or hyperkalemia • Diagnosis: • MRA of renal arteries (or CT angiogram) • Elevated renin level alone is not diagnostic • Treatment: in the general population, revascularization does not improve outcomes Secondary Hypertension Other potential causes: • Pheochromocytoma • NSAIDs • Hypercortisolism • Some antidepressants • Hyperthyroidism • Sympathomimetics • Chronic kidney disease • In children: Coarctation of aorta • Alcohol Renal parenchymal disease",24-hour urine catecholamine level,Plasma aldosterone/renin ratio,MRA of the renal arteries,Sleep study (polysomnography),Orthostatic Hypotension,0.2
4,04-SLIDES_hypertension.pdf,2,9,"A 58-year-old woman has home BP of 155/95 mm Hg, confirmed by multiple similar readings and office BP of 154/94. She exercises, follows a low-salt diet, and rarely drinks alcohol. Which one of the following medications would be most appropriate as initial therapy for this patient? JNC 8 Recommendations • In the general non-black population, including those with diabetes, initial treatment should include: • A thiazide-type diuretic, or CCB, or ACEI, or ARB • In the general black population, including those with diabetes, initial treatment should include: • A thiazide-type diuretic, or CCB JNC 8 Recommendations • In the population > 18 years with CKD, initial (or add-on) treatment should include an ACEI or ARB to improve kidney outcomes. • Do not use an ACEI and an ARB together in the same patient. • The main objective of hypertension treatment is to attain and maintain goal BP. Add and titrate as necessary to meet this objective. So many options – how to decide? • Thiazide diuretics more effective than ACEI for improving heart failure and cardiovascular outcomes in African Americans (ALLHAT). • CCBs more effective than ACEI for reducing strokes in African Americans. • ACEI/ARB still recommended in CKD, heart failure. Thiazide Diuretics in HTN • Reduce excretion of: • Calcium (may slow bone demineralization) • Uric acid (increasing likelihood of gout) • Lithium (increasing risk of lithium toxicity) • Increase excretion of: • Potassium (average decrease of 0.3-0.4 mmol/L; dietary salt restriction can minimize thiazide-induced K loss) • Magnesium (complicates correction of hypo-K) Thiazide Diuretics in HTN • Average increase in glucose attributed to thiazide use: 3-5 mg/dL • Presence of diabetes is not a contraindication to use of thiazides • May increase serum triglycerides • Typically considered ineffective when GFR < 30-40 mL/min • Exception is metolazone, which is not useful as monotherapy but improves diuresis when used in conjunction with loop diuretic (furosemide, torsemide, bumetanide, ethacrynic acid) Thiazide Diuretics Initial Dose Maximum Dose Hydrochlorothiazide 12.5 – 25 mg daily 25 mg Chlorthalidone 12.5 – 25 mg daily 50 mg Indapamide 1.25 – 2.5 mg daily 5 mg • HCTZ – little difference in efficacy: 12.5 vs. 25 mg; 50 mg more effective but increased biochemical effects and risk of sudden death • Chlorthalidone – ALLHAT, SHEP, SPRINT • Indapamide – HYVET ACE inhibitors and ARBs JNC-8 recommendations: • May be used as initial treatment choice • In the population > 18 years with CKD, treatment should include an ACEI or ARB to improve kidney outcomes (regardless of race or diabetes status). • Slows the progression of microalbuminuria in diabetic patients (screen all diabetic patients and treat with ACEI/ARB if microalbuminuria develops). • Do not use an ACEI and an ARB together in the same patient. ACE inhibitors and ARBs • ACEI: cough in 10 to 20% of patients, due to bradykinin accumulation • Can increase lithium levels • African-Americans relatively reduced BP response to monotherapy with ACEI/ARB • ACEI-induced angioedema is 2-4 times more common in African- American patients Starting dose Maximum dose Some ACEIs Fosinopril 5 to 10 mg daily 80 mg daily (Angiotensin- Lisinopril 5 mg daily 80 mg daily Converting Quinapril 10 mg daily 80 mg daily Enzyme Ramipril 1.25-2.5 mg daily 20 mg daily inhibitors) Starting dose Maximum dose Candesartan 16 mg daily 32 mg daily Some ARBs Irbesartan 150 mg daily 300 mg daily (Angiotensin Losartan 25-50 mg daily 100 mg daily Receptor Blockers) Olmesartan 20 mg daily 40 mg daily Valsartan 80 mg daily 320 mg daily Calcium-Channel Blockers • Dihydropyridines: vasodilators with little or no negative effect upon cardiac contractility or AV nodal conduction Amlodipine Felodipine Nicardipine Nifedipine • Nondihydropyridines: less-effective vasodilators that slow AV nodal conduction (verapamil > diltiazem) and have negative inotropic effect Hypertension in Ischemic Heart Disease • AHA guidelines recommend β-blockers and/or ACEIs for hypertensive patients with stable ischemic heart disease. Starting Dose Maximum Dose Metoprolol succinate 12.5 – 25 mg daily 400 mg daily Carvedilol 3.125 mg twice daily 50 mg daily Bisoprolol 1.25 mg daily 10 mg daily Hypertension in Ischemic Heart Disease • ACEIs are recommended in patients already on β-blocker therapy (especially following MI), in patients with diabetes, and in patients with left ventricular dysfunction. • Long-acting CCBs may be used in patients who do not tolerate β-blockers; short-acting CCBs should be avoided because they increase mortality. • Long-acting nitrates are used for their anti-anginal properties and have little role in the management of hypertension.",Chlorthalidone,Clonidine (Catapres),Doxazosin (Cardura),Metoprolol succinate (Toprol-XL),Hypertension Management,0.529
4,04-SLIDES_hypertension.pdf,3,16,"A 62-year-old man presents for follow-up of HTN. Despite adherence to his daily regimen of chlorthalidone, carvedilol, amlodipine, and lisinopril, his BP averages 152/92 mm Hg. Recent labs are normal, including CBC, BMP, UA. Which one of the following medication adjustments would be most appropriate to bring his blood pressure to goal? Resistant Hypertension • Persistent HTN despite > 3 drugs • One must be a diuretic at adequate dose • Most common cause: poor adherence to therapy • Exogenous drugs • Caffeine (energy drinks, supplements) • Alcohol, nicotine, cocaine • NSAIDs, OCPs • Steroids (both glucocorticoids and mineralocorticoids) • Erythropoietin • Herbal agents • Secondary HTN Resistant Hypertension Suboptimal therapy • Typically inadequate diuresis Consider a longer-acting diuretic such as chlorthalidone Add spironolactone • No benefit to switching ACEI to ARB • Consider vasodilating β-blocker: carvedilol, labetalol – both block α and β receptors; nebivolol increases nitric oxide levels • Consider clonidine, hydralazine, α-blocker Aldosterone Antagonists • Appropriate choice for resistant HTN even when hyperaldosteronism is not present; at initiation, GFR should be >30 mL/min and K<4.5 mEq/dL • Resistant hypertension is associated with higher levels of aldosterone, leading to secondary pharyngeal edema, increasing upper airway obstruction, so good choice for patients with OSA. Starting dose Maximum dose Spironolactone 12.5 mg daily 50 mg daily Eplerenone 25 mg daily 50 mg daily",Change chlorthalidone to furosemide,Change lisinopril to losartan,Add isosorbide mononitrate,Add spironolactone,Hypertension Management,0.235
4,04-SLIDES_hypertension.pdf,4,18,"A 57-year-old male with type 2 diabetes has a blood pressure of 148/94 and creatinine of 1.25 mg/dL. One month after starting lisinopril 20 mg/d, his blood pressure is 128/80 and creatinine has increased to 1.6 mg/dL. A repeat creatinine 1 week later is unchanged. What is the best approach in this situation? Treatment-Induced Decline in Renal Function • A 20-30% increase in creatinine, which then stabilizes, represents a hemodynamic change, and not a structural change. • Slight rise in creatinine serves as an indirect indicator that intraglomerular (IG) pressure has been reduced. • ACEI/ARB also dilate efferent arteriole, exaggerating decline in IG pressure. • Renal dysfunction associated with antihypertensive treatment is independent of the agent used. • If creatinine increases by more than 30%, agent should be discontinued and other causes of renal dysfunction should be evaluated. Hypertensive Emergency Severe asymptomatic HTN With end-organ damage Without end-organ damage • Dissecting aortic aneurysm • Acute pulmonary edema Usually chronic • Acute coronary syndromes (STEMI, NSTEMI, unstable angina) • Renal injury • Encephalopathy • Stroke • Eclampsia Requires Hospitalization Outpatient management Hypertensive emergency: Treatment • Avoid precipitous BP reductions - may provoke end-organ ischemia or infarction due to: • Peripheral vasodilation producing a “steal” syndrome • Reflexive tachycardia and excessive catecholamine release • Antihypertensive therapy is not routinely recommended for patients with stroke and elevated BP (“permissive hypertension” – typical systolic target is <180) • With aortic dissection, however, SBP should be decreased as rapidly as possible to 100-110 mm Hg or lower • Agents with rapid onset and short duration of action are preferred to allow careful titration Non-pharmacologic treatments for HTN • Weight loss for those who are overweight or obese. • Heart-healthy diet, such as DASH. • Sodium reduction. • Potassium supplementation, preferably by diet. • Increased physical activity. • No more than 2 standard drinks per day for men; no more than 1 for women. • No evidence of significant blood pressure reduction: • Calcium or magnesium supplements • Relaxation therapy or yoga or acupuncture Beyond medications and diet: Alternative approaches to lowering blood pressure: A Scientific Statement from the American Heart Association. Hypertension2013;61(6):1360-1383. Systolic murmurs Aortic stenosis Pulmonary stenosis Right second intercostal space: Left second intercostal space: crescendo-decrescendo, crescendo-decrescendo and radiates from aortic area to the radiates from pulmonary area shoulder and neck to the shoulder and neck Bicuspid aortic valve Most common congenital heart defect in the US, prevalence of 1-2%. Autosomal dominant inheritance pattern. Screen 1st degree relatives with echo. Apex Lower left sternal border Mitral regurgitation Tricuspid regurgitation Aortic stenosis • Most common valvular heart disease leading to intervention; typically a disease of older adults • Physical exam findings are not highly accurate in grading severity • Repeat echocardiography every 3-5 years in asymptomatic patients with mild aortic stenosis • ACA/AHA 2008 guidelines on valvular heart disease • Statins do not slow progression; no medications do • Transcatheter Aortic Valve Replacement (TAVR) – alternative to open procedure; becoming more frequently-employed option Diastolic murmurs Aortic regurgitation Left sternal border decrescendo; having patient sit up, lean forward and hold breath after full expiration increases the intensity of the murmur Pulmonary regurgitation Left sternal border decrescendo, increases with inspiration Mitral stenosis Apex with the patient in left lateral Tricuspid stenosis decubitus position Lower left sternal border Answers 1. B 2. A 3. D 4. A",Continue lisinopril at the same dosage,Reduce the lisinopril dosage to 10 mg,Change lisinopril to chlorthalidone,Change lisinopril to losartan,Hypertension Management,0.412
5,05-SLIDES_heart-failure.pdf,1,6,"An 86 y.o. woman presents with shortness of breath and a nonproductive cough. She is slightly tachypneic and tachycardic, but temperature and BP are normal. Her cardiac exam is normal, but bilateral crackles are present on lung exam and bilateral fluffy infiltrates are noted on CXR. CBC, metabolic panel, and initial troponin are normal. Her EKG shows sinus tachycardia. E. A serum lactic acid level BNP and heart failure • BNP (brain natriuretic peptide) is secreted from the ventricles in response to ventricular volume expansion and pressure overload. • Release is directly proportional to ventricular dysfunction and correlates with end-diastolic pressure. • BNP undergoes partial renal excretion; levels are inversely proportional to creatinine clearance. • Increases in both HFrEF and HFpEF, but typically to a (much) greater degree in HFrEF BNP and heart failure • BNP < 100 excludes CHF as a cause of dyspnea* • BNP > 400 confers a 95% likelihood of CHF • BNP 100 – 400 requires further investigation • Pulmonary disorders that can elevate BNP include lung cancer, cor pulmonale and pulmonary embolus • Other causes of BNP elevation include cirrhosis with ascites, primary hyperaldosteronism, Cushing disease • These disorders do not cause the same extent of BNP elevation as LV dysfunction *50 pg/mL suggested as upper limit of normal if BMI > 35; BNP levels are lower in obese patients, both with and without heart failure BNP and heart failure • For patients at risk of developing HF, natriuretic peptide biomarker–based screening followed by: • team-based care • including a cardiovascular specialist optimizing guideline- directed management can be useful to prevent the development of left ventricular dysfunction (systolic or diastolic) or new-onset HF. (Class IIa) 2017 ACC/AHA/HFSA Heart Failure Focused Update Echocardiogram 1. What is the ejection fraction? 2. Is the LV structure normal? 3. Are there valvular, pericardial, or RV abnormalities? 4. Is there impaired diastolic function? aorta LLAA LV Normal Systolic Diastolic dysfunction dysfunction HFrEF: Physiologic basis of treatment Low cardiac output triggers neurohormonal activation, which ultimately results in premature apoptosis of cardiac myocytes. • Preload reduction • Diuretics, nitrates • Afterload reduction • ACEI, ARB, hydralazine, nitrates • Sympathetic blockade • ß-blockers • Aldosterone-antagonist therapy • Spironolactone, eplerenone",A serum d-dimer level,BNP and procalcitonin levels,Serial troponin and creatine phosphokinase levels,An erythrocyte sedimentation rate and C-reactive protein level,Heart Failure with Reduced Ejection Fraction,0.533
5,05-SLIDES_heart-failure.pdf,2,10,"A 72-year-old male has a new diagnosis of hypertensive cardiomyopathy with left ventricular ejection fraction of 30%. He has dyspnea at rest and with minimal exertion. Which one of the following drugs will reduce his mortality risk? E. Nifedipine (Procardia) ACEI and ARB in HFrEF • Both reduce morbidity and mortality (LOE: A) • No threshold EF to consider/not consider use • Can cause angioedema (ACEI >> ARB); ARB may be preferred in African-American patients • Caution in patients with low BP, decreased renal function, hyperkalemia • Increased bradykinin levels, which can cause cough 2016 ACC/AHA/HFSA Focused Update on New Pharmacological Therapy for Heart Failure. Circulation 2016:134 ACEIs in heart failure Starting Dose Maximum Dose Captopril 6.25 mg tid 50 mg tid Enalapril 2.5 mg bid 10 mg bid Fosinopril 5 to 10 mg daily 40 mg daily Lisinopril 2.5 - 5 mg daily 40 mg daily Quinapril 5 mg bid 20 mg bid Ramipril 1.25 to 2.5 mg daily 10 mg daily ARBs in heart failure Starting Dose Study Dose Losartan 25 to 50 mg daily 50 to 150 mg daily Valsartan 20 to 40 mg twice daily 160 mg twice daily Candesartan 4 to 8 mg daily 32 mg daily ß-blockers and heart failure • Mortality rates are improved in HF patients who receive ß- blockers in addition to ACEIs/ARBs and diuretics. • ß-blockers decrease mortality in patients with prior MI, regardless of NYHA classification • There is no absolute threshold ejection fraction. • ß-blockers should be started when the patient is stable and euvolemic. ß-blockers and heart failure Starting Dose Maximum Dose Metoprolol succinate 12.5 - 25 mg daily 200 mg daily Carvedilol 3.125 mg twice daily 50 mg twice daily Bisoprolol 1.25 mg daily 10 mg daily Use with caution or not at all: • Hemodynamic instability • Heart block or bradycardia • Severe asthma or COPD – 2nd generation β-blockers are cardioselective (β ); selectivity diminishes at higher doses 1",Atenolol (Tenormin),"Lisinopril (Zestril, Prinivil)",Digoxin,Furosemide (Lasix),Heart Failure with Reduced Ejection Fraction,0.533
