Subcategory,PrimaryCategory,BlueprintCategory,Total_Questions_6yr,Avg_Per_Exam,Trend,Trend_Slope,Yield_Score,Top_QuestionTypes,Key_ClinicalFocuses,Tier_orig,Yield_Score_v2,Tier_v2,Tier_change
Nephrolithiasis Management,Nephrologic,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Medical therapy to facilitate ureteral stone passage | Small ureteral stone expectant management,Standard,-0.01,Standard,
Patellofemoral Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,"Diagnosis, Management",Anterior knee pain differential diagnosis | Initial conservative treatment of patellofemoral pain,Standard,-0.01,Standard,
Spirometry Interpretation,Respiratory,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Interpretation,Obstructive pattern on spirometry | Restrictive lung disease spirometry pattern,Standard,-0.01,Standard,
Diverticulitis Management,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Outpatient management of mild diverticulitis | Mild diverticulitis outpatient treatment approach,Standard,-0.01,Standard,
Gender Dysphoria Management,Hematologic/Immune,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Initial hormone therapy for transgender men | GnRH agonist initiation timing in transgender youth,Standard,-0.01,Standard,
Allergic Rhinitis Management,Respiratory,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,First-line therapy for seasonal allergic rhinitis | First-line treatment for seasonal allergic rhinitis,Standard,-0.01,Standard,
Atrial Fibrillation Anticoagulation,Cardiovascular,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Warfarin vs DOAC selection in AF | Anticoagulant selection in atrial fibrillation,Standard,-0.01,Standard,
Alcohol Withdrawal Syndrome,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,"Diagnosis, Pharmacology",Recognizing alcohol withdrawal presentation in elderly | First-line medication for mild alcohol withdrawal,Standard,-0.01,Standard,
Osgood-Schlatter Disease,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Diagnosis,Adolescent knee pain with growth spurt | Clinical diagnosis without unnecessary imaging,Standard,-0.01,Standard,
Croup Management,Respiratory,Emergent and Urgent Care,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,First-line treatment for viral croup | Dexamethasone for croup treatment,Standard,-0.01,Standard,
Influenza Treatment in Pregnancy,Respiratory,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Pharmacology,Antiviral selection for pregnant influenza patient | Antiviral therapy for influenza in pregnancy,Standard,-0.01,Standard,
Thyroid Nodule Evaluation,Endocrine,Acute Care and Diagnosis,4,0.7,Falling ðŸ“‰,-0.229,-0.02,Diagnosis,Thyroid nodule workup with normal TSH | Radionuclide uptake scan indication for thyroid nodule | Thyroid nodule workup and risk stratification,Standard,0.65,Tier 2,*** Standard -> Tier 2
Cardiovascular Risk Assessment,Cardiovascular,Preventive Care,3,0.5,Falling ðŸ“‰,-0.2,-0.1,"Screening, Management",Statin initiation timing in diabetic patients | Appropriate CVD risk screening tests | ACC/AHA ASCVD risk calculation components,Standard,-0.1,Standard,
Iron Deficiency Anemia,Hematologic/Immune,Acute Care and Diagnosis,3,0.5,Falling ðŸ“‰,-0.2,-0.1,"Management, Diagnosis",First-line treatment of iron deficiency anemia | Clinical manifestations of iron deficiency anemia | Serum iron markers in iron deficiency anemia,Standard,-0.1,Standard,
Tuberculosis Screening,Population-Based Care,Preventive Care,3,0.5,Falling ðŸ“‰,-0.2,-0.1,Screening,TB screening in BCG-vaccinated individuals | TB screening in immigrant children with BCG history | TB screening method selection for asymptomatic individuals,Standard,-0.1,Standard,
Cardiovascular Risk in Diabetes,Endocrine,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.171,-0.18,Management,Statin intensity for diabetic dyslipidemia | Statin therapy for dyslipidemia in pediatric diabetes,Standard,-0.18,Standard,
Stress Urinary Incontinence,Nephrologic,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.171,-0.18,"Diagnosis, Management",Initial diagnostic evaluation of stress incontinence | First-line treatment for stress incontinence,Standard,-0.18,Standard,
Hordeolum (Stye) Management,Integumentary,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.171,-0.18,Management,Initial conservative treatment of external hordeolum | Initial treatment of external hordeolum,Standard,-0.18,Standard,
Lyme Disease Diagnosis,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.171,-0.18,Diagnosis,Recognizing erythema migrans in Lyme disease | Erythema migrans recognition and diagnosis,Standard,-0.18,Standard,
Influenza Vaccination,Population-Based Care,Preventive Care,4,0.7,Falling ðŸ“‰,-0.286,-0.19,"Management, Counseling",Egg allergy and influenza vaccine safety | Number needed to treat for vaccine efficacy | Influenza vaccine selection with egg allergy,Standard,0.65,Tier 2,*** Standard -> Tier 2
Sepsis Management,Cardiovascular,Emergent and Urgent Care,3,0.5,Falling ðŸ“‰,-0.257,-0.27,Management,Initial resuscitation in septic shock | Sepsis recognition and fluid resuscitation | Sepsis fluid resuscitation protocol,Standard,-0.27,Standard,
Abdominal Aortic Aneurysm Screening,Cardiovascular,Preventive Care,2,0.3,Falling ðŸ“‰,-0.229,-0.35,Screening,USPSTF AAA screening recommendations in older men | AAA screening recommendations by age and smoking history,Standard,-0.35,Standard,
Conduct Disorder,Psychogenic,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.229,-0.35,"Management, Diagnosis",Initial management of conduct disorder in adolescents | Adolescent behavioral disorder recognition criteria,Standard,-0.35,Standard,
Breast Cancer Surveillance,Population-Based Care,Preventive Care,2,0.3,Falling ðŸ“‰,-0.229,-0.35,"Screening, Management",Post-treatment breast cancer surveillance strategies | Post-lumpectomy breast cancer surveillance protocols,Standard,-0.35,Standard,
Trigger Finger Management,Musculoskeletal,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.229,-0.35,"Management, Counseling",Cost-effective trigger finger treatment | Conservative treatment options for trigger finger,Standard,-0.35,Standard,
Hirsutism Management,Endocrine,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.229,-0.35,Management,First-line treatment for idiopathic hirsutism,Standard,-0.35,Standard,
Type 1 Diabetes Management,Endocrine,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.229,-0.35,"Management, Counseling",Type 1 diabetes management during religious fasting | Hemoglobin A1c target goal setting,Standard,-0.35,Standard,
Depression Screening,Population-Based Care,Preventive Care,2,0.3,Falling ðŸ“‰,-0.286,-0.52,Screening,USPSTF depression screening recommendations | PHQ-2 screening instrument cardinal symptoms,Standard,-0.52,Standard,
