article_id,author1,year,title,source_type,db_tier
ART-1526,Silver,2024,Foot fractures account for approximately one-third of lower extremity fractures ,AFP,VC_fail
ART-1527,Smith,2023,"Tonsillitis, or inflammation of the tonsils, makes up approximately 0.4% of outp",AFP,VC_fail
ART-1528,Snyder,2024,Skin findings in newborns can present a diagnostic challenge in distinguishing c,AFP,VC_fail
ART-1529,Straub,2024,Common Tongue Conditions in Primary Care,AFP,VC_fail
ART-1530,Sur,2022,Upper respiratory tract infections (URIs) account for millions of physician visi,AFP,VC_fail
ART-1531,Swisher,2025,Acute Monoarthritis:​ Diagnosis in Adults,AFP,VC_fail
ART-1532,Switaj,2017,Acute coronary syndrome continues to be a significant cause of morbidity and mor,AFP,VC_fail
ART-1533,Trayes,2019,"Erythema multiforme is an acute, typically self-limited skin condition with lesi",AFP,VC_fail
ART-1534,Unwin,2021,Approximately 19 million full- and part-time students were enrolled in U.S. coll,AFP,VC_fail
ART-1535,Vaughan,2024,More than 38 million people in the United States have diabetes mellitus;​ 90% to,AFP,VC_fail
ART-1536,Veauthier,2020,Urinary tract infections (UTIs) are common in children and are associated with s,AFP,VC_fail
ART-1537,Veauthier,2024,Diabetic Ketoacidosis:​ Evaluation and Treatment,AFP,VC_fail
ART-1538,Viera,2022,A detailed history and physical examination can distinguish between key features,AFP,VC_fail
ART-1539,Walling,2020,Patients with increasingly frequent headaches can develop disabling symptoms. Bi,AFP,VC_fail
ART-1540,Weaver-Agostoni,2023,Allergic rhinitis is the most common chronic disease of childhood and the fifth ,AFP,VC_fail
ART-1541,Weinfeld,2021,The home measurement of blood pressure allows patients with hypertension to beco,AFP,VC_fail
ART-1542,Wilbur,2017,Pulmonary embolism and deep venous thrombosis are the two most important manifes,AFP,VC_fail
