
=== Run started 2026-02-24 08:57:22.860824 ===
[OK] Q2020-001 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2021-309 | Acute Care and Diagnosis | Ankle Sprain Management | Pharmacology | conf=High
[OK] Q2021-310 | Acute Care and Diagnosis | Acute Rheumatic Fever | Management | conf=High
[OK] Q2021-311 | Chronic Care Management | Dermatitis Herpetiformis | Diagnosis | conf=High
[OK] Q2021-312 | Chronic Care Management | Cognitive Changes in Menopause | Management | conf=High
[OK] Q2021-313 | Chronic Care Management | Trigeminal Neuralgia | Management | conf=High
[OK] Q2021-314 | Preventive Care | Subclinical Hypothyroidism Screening | Management | conf=High
[OK] Q2021-315 | Emergent and Urgent Care | Child Abuse Recognition | Diagnosis | conf=High
[OK] Q2021-316 | Acute Care and Diagnosis | Rheumatoid Arthritis Diagnosis | Diagnosis | conf=High
[OK] Q2021-317 | Chronic Care Management | COPD Escalation Therapy | Management | conf=High
[OK] Q2021-318 | Chronic Care Management | Alcohol Use Disorder Treatment | Pharmacology | conf=High
[OK] Q2021-319 | Acute Care and Diagnosis | Syncope Evaluation | Diagnosis | conf=High
[OK] Q2021-320 | Acute Care and Diagnosis | Esophageal Dysphagia | Diagnosis | conf=High
[OK] Q2021-321 | Acute Care and Diagnosis | Hand-Foot-and-Mouth Disease | Diagnosis | conf=High
[OK] Q2021-322 | Acute Care and Diagnosis | Achilles Tendon Rupture | Diagnosis | conf=High
[OK] Q2021-323 | Acute Care and Diagnosis | Bacterial Sinusitis Treatment | Pharmacology | conf=High
[OK] Q2021-324 | Emergent and Urgent Care | Acute Coronary Syndrome | Management | conf=High
[OK] Q2021-325 | Emergent and Urgent Care | Emergency Consent and Head Injury | Management | conf=High
[OK] Q2021-326 | Chronic Care Management | Recurrent Nephrolithiasis Prevention | Management | conf=High
[OK] Q2021-327 | Preventive Care | Breast Cancer Surveillance | Management | conf=High
[OK] Q2021-328 | Preventive Care | Transgender Health Screening | Pathophysiology | conf=High
[OK] Q2021-329 | Chronic Care Management | Bipolar Disorder Diagnosis | Diagnosis | conf=High
[OK] Q2021-330 | Chronic Care Management | Thyrotoxicosis Diagnosis | Diagnosis | conf=High
[OK] Q2021-331 | Chronic Care Management | Hallux Limitus/Hallux Rigidus | Management | conf=High
[OK] Q2021-332 | Preventive Care | Cardiovascular Risk in Diabetes | Management | conf=High
[OK] Q2021-333 | Preventive Care | Mortality and Prevention Strategy | Screening | conf=High
[OK] Q2021-334 | Emergent and Urgent Care | ARDS Diagnosis | Diagnosis | conf=High
[OK] Q2021-335 | Preventive Care | Hepatitis B Serology Interpretation | Interpretation | conf=High
[OK] Q2021-336 | Preventive Care | Newborn Hearing Screening | Management | conf=High
[OK] Q2021-337 | Chronic Care Management | Plantar Wart Treatment | Management | conf=High
[OK] Q2021-338 | Foundations of Care | Cytokine Storm Pathophysiology | Pathophysiology | conf=High
[OK] Q2021-339 | Chronic Care Management | Hypogonadism and Testosterone Replacement | Management | conf=High
[OK] Q2021-340 | Acute Care and Diagnosis | Thoracic Outlet Syndrome | Diagnosis | conf=High
[OK] Q2021-341 | Acute Care and Diagnosis | Spirometry Interpretation | Interpretation | conf=High
[OK] Q2021-342 | Chronic Care Management | Clubfoot Management | Management | conf=High
[OK] Q2021-343 | Emergent and Urgent Care | Acute Ischemic Stroke Management | Management | conf=High
[OK] Q2021-344 | Foundations of Care | Physician-Patient Communication | Counseling | conf=High
[OK] Q2021-345 | Chronic Care Management | Thyroid Nodule Evaluation | Diagnosis | conf=High
[OK] Q2021-346 | Chronic Care Management | Anorexia Nervosa Treatment | Management | conf=High
[OK] Q2021-347 | Acute Care and Diagnosis | Knee Injury Clinical Decision Rules | Diagnosis | conf=High
[OK] Q2021-348 | Chronic Care Management | COPD Workup and Etiology | Diagnosis | conf=High
[OK] Q2021-349 | Acute Care and Diagnosis | Acute Gastroenteritis Management | Management | conf=High
[OK] Q2021-350 | Acute Care and Diagnosis | Pericarditis Management | Management | conf=High
[OK] Q2021-351 | Emergent and Urgent Care | Anaphylaxis Management | Management | conf=High
[OK] Q2021-352 | Acute Care and Diagnosis | Abnormal Uterine Bleeding | Diagnosis | conf=High
[OK] Q2021-353 | Preventive Care | Vaccine Adverse Events and Compensation | Counseling | conf=High
[OK] Q2021-354 | Acute Care and Diagnosis | Diabetic Foot Complications | Diagnosis | conf=High
[OK] Q2021-355 | Acute Care and Diagnosis | Community-Acquired Pneumonia Management | Management | conf=High
[OK] Q2021-356 | Chronic Care Management | Atrial Fibrillation Stroke Prevention | Management | conf=High
[OK] Q2021-357 | Preventive Care | Infant Nutrition and Supplementation | Management | conf=High
[OK] Q2021-358 | Preventive Care | Syphilis Exposure Management | Management | conf=High
[OK] Q2021-359 | Preventive Care | Dementia Screening and Workup | Diagnosis | conf=High
[OK] Q2021-360 | Acute Care and Diagnosis | Pulmonary Embolism Diagnosis | Diagnosis | conf=High
[OK] Q2021-361 | Chronic Care Management | Frailty Management in Elderly | Management | conf=High
[OK] Q2021-362 | Chronic Care Management | Diabetic Foot Ulcers | Diagnosis | conf=High
[OK] Q2021-363 | Chronic Care Management | Diabetic Retinopathy Prevention | Counseling | conf=High
[OK] Q2021-364 | Chronic Care Management | Patellar Tendinopathy Treatment | Management | conf=High
[OK] Q2021-365 | Preventive Care | Diverticulitis Recurrence Prevention | Management | conf=High
[OK] Q2021-366 | Acute Care and Diagnosis | Takotsubo Syndrome | Interpretation | conf=High
[OK] Q2021-367 | Preventive Care | Hepatitis C Screening | Screening | conf=High
[OK] Q2021-368 | Chronic Care Management | Aspiration Prevention | Management | conf=High
[OK] Q2021-369 | Foundations of Care | Iron Deficiency Anemia | Diagnosis | conf=High
[OK] Q2021-370 | Chronic Care Management | Gestational Diabetes Management | Management | conf=High
[OK] Q2021-371 | Chronic Care Management | Trigger Finger Management | Counseling | conf=High
[OK] Q2021-372 | Chronic Care Management | Hypertension and Dyslipidemia | Pharmacology | conf=High
[OK] Q2021-373 | Emergent and Urgent Care | Croup Management | Management | conf=High
[OK] Q2021-374 | Chronic Care Management | Post-Traumatic Stress Disorder | Management | conf=High
[OK] Q2021-375 | Chronic Care Management | Oral Contraceptive Use in Middle Age | Counseling | conf=High
[OK] Q2021-376 | Acute Care and Diagnosis | Systemic Lupus Erythematosus | Diagnosis | conf=High
[OK] Q2021-377 | Chronic Care Management | Adolescent Scoliosis Management | Management | conf=High
[OK] Q2021-378 | Foundations of Care | Patient Communication and Cultural Competency | Interpretation | conf=High
[OK] Q2021-379 | Chronic Care Management | Nonalcoholic Fatty Liver Disease | Management | conf=High
[OK] Q2021-380 | Acute Care and Diagnosis | Influenza Treatment in Pregnancy | Pharmacology | conf=High
[OK] Q2021-381 | Preventive Care | Cardiovascular Risk Assessment | Screening | conf=High
[OK] Q2021-382 | Chronic Care Management | Diabetic Nephropathy Management | Pharmacology | conf=High
[OK] Q2021-383 | Chronic Care Management | Smoking Cessation | Pharmacology | conf=High
[OK] Q2021-384 | Chronic Care Management | Migraine Prophylaxis | Pharmacology | conf=High
[OK] Q2021-385 | Preventive Care | Contrast-Induced Nephropathy Prevention | Management | conf=High
[OK] Q2021-386 | Acute Care and Diagnosis | Lyme Disease | Diagnosis | conf=High
[OK] Q2021-387 | Chronic Care Management | Osteoporosis Management | Management | conf=High
[OK] Q2021-388 | Chronic Care Management | Pulmonary Hypertension | Pathophysiology | conf=High
[OK] Q2021-389 | Emergent and Urgent Care | Hyperkalemia EKG Changes | Interpretation | conf=High
[OK] Q2021-390 | Chronic Care Management | Medication Side Effects | Pharmacology | conf=High
[OK] Q2021-391 | Acute Care and Diagnosis | Thrombocytopenia Management | Management | conf=High
[OK] Q2021-392 | Acute Care and Diagnosis | Primary Ovarian Insufficiency | Diagnosis | conf=High
[OK] Q2021-393 | Acute Care and Diagnosis | Peptic Ulcer Disease | Diagnosis | conf=High
[OK] Q2021-394 | Chronic Care Management | Cancer-Related Side Effects | Pharmacology | conf=High
[OK] Q2021-395 | Acute Care and Diagnosis | Coccidioidomycosis Diagnosis | Diagnosis | conf=High
[OK] Q2021-396 | Chronic Care Management | Opioid and Psychotropic Drug Interactions | Pharmacology | conf=High
[OK] Q2021-397 | Acute Care and Diagnosis | Osgood-Schlatter Disease | Diagnosis | conf=High
[OK] Q2021-398 | Preventive Care | Immunization and Vaccine Management | Management | conf=High
[OK] Q2021-399 | Chronic Care Management | Hypertension Pharmacotherapy | Pharmacology | conf=High
[OK] Q2021-400 | Chronic Care Management | Hirsutism Management | Management | conf=High
[OK] Q2022-401 | Chronic Care Management | Secondary Hypertension Evaluation | Diagnosis | conf=High
[OK] Q2022-402 | Acute Care and Diagnosis | Coccidioidomycosis Complications | Diagnosis | conf=High
[OK] Q2022-403 | Chronic Care Management | Esophageal Varices Management | Management | conf=High
[OK] Q2022-404 | Chronic Care Management | Sundowning and Behavioral Symptoms | Management | conf=High
[OK] Q2022-405 | Preventive Care | Antibiotic Prophylaxis Post-Arthroplasty | Management | conf=High
[OK] Q2022-406 | Chronic Care Management | Amiodarone-Induced Thyroid Dysfunction | Pharmacology | conf=High
[OK] Q2022-407 | Preventive Care | Tetanus Prophylaxis | Management | conf=High
[OK] Q2022-408 | Acute Care and Diagnosis | Gonorrhea Treatment | Management | conf=High
[OK] Q2022-409 | Chronic Care Management | Transgender Hormone Therapy | Counseling | conf=High
[OK] Q2022-410 | Acute Care and Diagnosis | Contact Dermatitis | Diagnosis | conf=High
[OK] Q2022-411 | Emergent and Urgent Care | Acute Kidney Injury | Diagnosis | conf=High
[OK] Q2022-412 | Chronic Care Management | Polycystic Ovary Syndrome | Diagnosis | conf=High
[OK] Q2022-413 | Chronic Care Management | Atrial Fibrillation Stroke Prevention | Management | conf=High
[OK] Q2022-414 | Acute Care and Diagnosis | Sarcoidosis Diagnosis | Diagnosis | conf=High
[OK] Q2022-415 | Chronic Care Management | Adhesive Capsulitis Risk Factors | Pathophysiology | conf=High
[OK] Q2022-416 | Foundations of Care | Unconjugated Hyperbilirubinemia | Diagnosis | conf=High
[OK] Q2022-417 | Chronic Care Management | Hashimoto Thyroiditis Diagnosis | Diagnosis | conf=High
[OK] Q2022-418 | Acute Care and Diagnosis | Group A Streptococcal Pharyngitis | Management | conf=High
[OK] Q2022-419 | Preventive Care | Pediatric Health Maintenance | Screening | conf=High
[OK] Q2022-420 | Chronic Care Management | Migraine Management | Pharmacology | conf=High
[OK] Q2022-421 | Chronic Care Management | Thalassemia Major Complications | Pharmacology | conf=High
[OK] Q2022-422 | Chronic Care Management | Type 2 Diabetes Management | Pharmacology | conf=High
[OK] Q2022-423 | Chronic Care Management | Antihypertensive Medication Adverse Effects | Pharmacology | conf=High
[OK] Q2022-424 | Chronic Care Management | Hidradenitis Suppurativa | Diagnosis | conf=High
[OK] Q2022-425 | Chronic Care Management | Severe Asthma Management | Management | conf=High
[OK] Q2022-426 | Acute Care and Diagnosis | Cholestasis of Pregnancy | Diagnosis | conf=High
[OK] Q2022-427 | Chronic Care Management | Frailty Syndrome Management | Management | conf=High
[OK] Q2022-428 | Chronic Care Management | Osteoporosis and Thyroid Disease | Diagnosis | conf=High
[OK] Q2022-429 | Acute Care and Diagnosis | Tumor Lysis Syndrome | Pathophysiology | conf=High
[OK] Q2022-430 | Acute Care and Diagnosis | Preoperative Cardiac Evaluation | Management | conf=High
[OK] Q2022-431 | Emergent and Urgent Care | Acute Appendicitis Diagnosis | Diagnosis | conf=High
[OK] Q2022-432 | Chronic Care Management | Allergic Rhinitis Management | Management | conf=High
[OK] Q2022-433 | Chronic Care Management | Statin-Drug Interactions | Pharmacology | conf=High
[OK] Q2022-434 | Chronic Care Management | Medication Deprescribing in Elderly | Management | conf=High
[OK] Q2022-435 | Preventive Care | Adolescent Depression Screening | Screening | conf=High
[OK] Q2022-436 | Acute Care and Diagnosis | Dermatitis Herpetiformis Diagnosis | Diagnosis | conf=High
[OK] Q2022-437 | Chronic Care Management | Hypertension in CKD with Proteinuria | Management | conf=High
[OK] Q2022-438 | Chronic Care Management | Tinnitus Management | Management | conf=High
[OK] Q2022-439 | Chronic Care Management | Post-PCI and Stent Management | Pharmacology | conf=High
[OK] Q2022-440 | Emergent and Urgent Care | Suicide Risk Assessment and Management | Management | conf=High
[OK] Q2022-441 | Chronic Care Management | Childhood Asthma Management | Management | conf=High
[OK] Q2022-442 | Emergent and Urgent Care | Acute Pain Management | Pharmacology | conf=High
[OK] Q2022-443 | Chronic Care Management | Type 2 Diabetes Management | Pharmacology | conf=High
[OK] Q2022-444 | Foundations of Care | Difficult Patient Encounters | Counseling | conf=High
[OK] Q2022-445 | Chronic Care Management | Parkinson Disease Management | Pharmacology | conf=High
[OK] Q2022-446 | Foundations of Care | Functional Gastrointestinal Disorders | Diagnosis | conf=High
[OK] Q2022-447 | Preventive Care | Preeclampsia Prevention | Management | conf=High
[OK] Q2022-448 | Chronic Care Management | Heart Failure with Reduced Ejection Fraction | Pharmacology | conf=High
[OK] Q2022-449 | Chronic Care Management | Asthma and Leukotriene Inhibitors | Pharmacology | conf=High
[OK] Q2022-450 | Acute Care and Diagnosis | Drug Reaction Dermatitis | Diagnosis | conf=High
[OK] Q2022-451 | Chronic Care Management | Osteoarthritis Management | Pharmacology | conf=High
[OK] Q2022-452 | Preventive Care | Intimate Partner Violence Risk Assessment | Screening | conf=High
[OK] Q2022-453 | Emergent and Urgent Care | Febrile Neutropenia Management | Management | conf=High
[OK] Q2022-454 | Chronic Care Management | Primary Dysmenorrhea | Management | conf=High
[OK] Q2022-455 | Emergent and Urgent Care | Serotonin Syndrome | Diagnosis | conf=High
[OK] Q2022-456 | Chronic Care Management | Type 2 Diabetes Pharmacotherapy | Pharmacology | conf=High
[OK] Q2022-457 | Chronic Care Management | Alcohol Use Disorder Treatment | Pharmacology | conf=High
[OK] Q2022-458 | Preventive Care | Osteoporosis Screening | Screening | conf=High
[OK] Q2022-459 | Chronic Care Management | Schizophrenia Management | Pharmacology | conf=High
[OK] Q2022-460 | Chronic Care Management | Chronic Cough Differential Diagnosis | Diagnosis | conf=High
[OK] Q2022-461 | Chronic Care Management | Stroke Prevention and Secondary Prevention | Management | conf=High
[OK] Q2022-462 | Chronic Care Management | Autosomal Dominant Polycystic Kidney Disease | Pathophysiology | conf=High
[OK] Q2022-463 | Chronic Care Management | Irritable Bowel Syndrome Management | Management | conf=High
[OK] Q2022-464 | Preventive Care | Waterborne Illness Prevention | Counseling | conf=High
[OK] Q2022-465 | Preventive Care | Gestational Diabetes Follow-up | Screening | conf=High
[OK] Q2022-466 | Emergent and Urgent Care | Pulmonary Embolism Diagnosis | Diagnosis | conf=High
[OK] Q2022-467 | Foundations of Care | Osteochondrosis versus Apophysitis | Pathophysiology | conf=High
[OK] Q2022-468 | Chronic Care Management | Psoriasis Treatment | Pharmacology | conf=High
[OK] Q2022-469 | Chronic Care Management | Resistant Hypertension Management | Pharmacology | conf=High
[OK] Q2022-470 | Acute Care and Diagnosis | Exercise-Induced Laryngeal Dysfunction | Diagnosis | conf=High
[OK] Q2022-471 | Acute Care and Diagnosis | Hereditary Hemochromatosis Diagnosis | Diagnosis | conf=High
[OK] Q2022-472 | Chronic Care Management | Post-Traumatic Stress Disorder | Pharmacology | conf=High
[OK] Q2022-473 | Preventive Care | Diabetic Retinopathy Screening | Screening | conf=High
[OK] Q2022-474 | Emergent and Urgent Care | Heatstroke and Heat-Related Illness | Diagnosis | conf=High
[OK] Q2022-475 | Acute Care and Diagnosis | Elevated Alkaline Phosphatase Evaluation | Diagnosis | conf=High
[OK] Q2022-476 | Preventive Care | Tuberculosis Screening and Diagnosis | Diagnosis | conf=High
[OK] Q2022-477 | Chronic Care Management | Post-MI Secondary Prevention | Management | conf=High
[OK] Q2022-478 | Acute Care and Diagnosis | Bell's Palsy | Pharmacology | conf=High
[OK] Q2022-479 | Acute Care and Diagnosis | Phytophotodermatitis | Diagnosis | conf=High
[OK] Q2022-480 | Preventive Care | Vaccination in Pregnancy | Pharmacology | conf=High
[OK] Q2022-481 | Chronic Care Management | Type 2 Diabetes Diagnosis | Diagnosis | conf=High
[OK] Q2022-482 | Preventive Care | Scoliosis Screening | Diagnosis | conf=High
[OK] Q2022-483 | Chronic Care Management | Assistive Devices and Mobility | Management | conf=High
[OK] Q2022-484 | Chronic Care Management | Obstructive Sleep Apnea Management | Management | conf=High
[OK] Q2022-485 | Preventive Care | Cardiovascular Risk Reduction | Counseling | conf=High
[OK] Q2022-486 | Emergent and Urgent Care | Acute Cholecystitis Management | Management | conf=High
[OK] Q2022-487 | Preventive Care | Climate Change Health Effects | Pathophysiology | conf=High
[OK] Q2022-488 | Acute Care and Diagnosis | Primary Ovarian Insufficiency | Diagnosis | conf=High
[OK] Q2022-489 | Preventive Care | Eating Disorder and Obesity Prevention | Counseling | conf=High
[OK] Q2022-490 | Chronic Care Management | Fibromyalgia Management | Management | conf=High
[OK] Q2022-491 | Chronic Care Management | Abdominal Aortic Aneurysm | Management | conf=High
[OK] Q2022-492 | Chronic Care Management | Borderline Personality Disorder | Management | conf=High
[OK] Q2022-493 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2022-494 | Chronic Care Management | Transitions of Care Planning | Management | conf=High
[OK] Q2022-495 | Chronic Care Management | Glaucoma Clinical Presentation | Diagnosis | conf=High
[OK] Q2022-496 | Chronic Care Management | Stress Urinary Incontinence | Management | conf=High
[OK] Q2022-497 | Emergent and Urgent Care | Perianal Abscess Management | Management | conf=Medium
[OK] Q2022-498 | Chronic Care Management | Hypothyroidism in Pregnancy | Management | conf=High
[OK] Q2022-499 | Chronic Care Management | Stable Angina Management | Management | conf=Medium
[OK] Q2022-500 | Chronic Care Management | Palliative Care | Counseling | conf=High
[OK] Q2022-501 | Acute Care and Diagnosis | Acute Bacterial Sinusitis | Management | conf=High
[OK] Q2022-502 | Acute Care and Diagnosis | Diabetic Foot Ulcer Infection | Diagnosis | conf=High
[OK] Q2022-503 | Chronic Care Management | Systemic Lupus Erythematosus Monitoring | Interpretation | conf=High
[OK] Q2022-504 | Emergent and Urgent Care | Acute Gastroenteritis in Children | Management | conf=High
[OK] Q2022-505 | Emergent and Urgent Care | Delirium Diagnosis | Diagnosis | conf=High
[OK] Q2022-506 | Preventive Care | HIV Vaccination and Prophylaxis | Management | conf=High
[OK] Q2022-507 | Acute Care and Diagnosis | Hypertriglyceridemia Complications | Pathophysiology | conf=High
[OK] Q2022-508 | Acute Care and Diagnosis | Viral Upper Respiratory Infection with Wheezing | Management | conf=High
[OK] Q2022-509 | Acute Care and Diagnosis | Radial Head Fracture Management | Management | conf=High
[OK] Q2022-510 | Emergent and Urgent Care | Sepsis Management | Management | conf=High
[OK] Q2022-511 | Acute Care and Diagnosis | Hordeolum (Stye) Management | Management | conf=High
[OK] Q2022-512 | Chronic Care Management | Cyclical Mastalgia Management | Management | conf=High
[OK] Q2022-513 | Acute Care and Diagnosis | Complex Regional Pain Syndrome | Diagnosis | conf=High
[OK] Q2022-514 | Chronic Care Management | Diabetes Management in CKD | Pharmacology | conf=High
[OK] Q2022-515 | Preventive Care | Immunization and Vaccination | Counseling | conf=High
[OK] Q2022-516 | Acute Care and Diagnosis | Multiple Myeloma Diagnosis | Diagnosis | conf=High
[OK] Q2022-517 | Emergent and Urgent Care | Pneumothorax Diagnosis | Diagnosis | conf=High
[OK] Q2022-518 | Chronic Care Management | Major Depressive Disorder | Pharmacology | conf=High
[OK] Q2022-519 | Chronic Care Management | Peripheral Arterial Disease | Management | conf=High
[OK] Q2022-520 | Preventive Care | Immunization Contraindications | Management | conf=High
[OK] Q2022-521 | Acute Care and Diagnosis | Neonatal Early-Onset Sepsis | Management | conf=High
[OK] Q2022-522 | Chronic Care Management | Subacromial Impingement Syndrome | Management | conf=High
[OK] Q2022-523 | Preventive Care | Coronary Artery Calcium Screening | Screening | conf=High
[OK] Q2022-524 | Acute Care and Diagnosis | Hemoptysis Workup | Diagnosis | conf=High
[OK] Q2022-525 | Chronic Care Management | Hypertension Management | Management | conf=High
[OK] Q2022-526 | Chronic Care Management | Type 2 Diabetes in CKD | Pharmacology | conf=High
[OK] Q2022-527 | Acute Care and Diagnosis | Trichomoniasis Diagnosis and Treatment | Management | conf=High
[OK] Q2022-528 | Chronic Care Management | Bariatric Surgery and Obesity | Counseling | conf=High
[OK] Q2022-529 | Chronic Care Management | Somatic Symptom Disorder | Management | conf=High
[OK] Q2022-530 | Chronic Care Management | Testosterone Replacement Therapy | Management | conf=High
[OK] Q2022-531 | Acute Care and Diagnosis | Trigger Finger Diagnosis | Diagnosis | conf=High
[OK] Q2022-532 | Emergent and Urgent Care | Symptomatic Bradycardia and Heart Blocks | Management | conf=High
[OK] Q2022-533 | Foundations of Care | Medical-Legal Principles | Interpretation | conf=High
[OK] Q2022-534 | Acute Care and Diagnosis | Acute Bronchitis Etiology | Pathophysiology | conf=High
[OK] Q2022-535 | Preventive Care | Hepatitis C Screening | Diagnosis | conf=High
[OK] Q2022-536 | Emergent and Urgent Care | Corneal Abrasion Management | Management | conf=High
[OK] Q2022-537 | Chronic Care Management | Onychomycosis Treatment | Management | conf=High
[OK] Q2022-538 | Preventive Care | Substance Use Screening | Interpretation | conf=High
[OK] Q2022-539 | Chronic Care Management | Type 2 Diabetes Management | Pharmacology | conf=High
[OK] Q2022-540 | Acute Care and Diagnosis | Hypertrophic Cardiomyopathy | Diagnosis | conf=High
[OK] Q2022-541 | Acute Care and Diagnosis | Pediatric Fever and Cough | Diagnosis | conf=Medium
[OK] Q2022-542 | Acute Care and Diagnosis | Septic Arthritis | Diagnosis | conf=High
[OK] Q2022-543 | Acute Care and Diagnosis | Ulnar Nerve Entrapment | Diagnosis | conf=High
[OK] Q2022-544 | Preventive Care | Prostate Cancer Screening | Screening | conf=High
[OK] Q2022-545 | Acute Care and Diagnosis | Hyperglycemic Crisis Management | Management | conf=High
[OK] Q2022-546 | Chronic Care Management | Avoidant Personality Disorder | Diagnosis | conf=High
[OK] Q2022-547 | Chronic Care Management | Plantar Fasciitis Management | Management | conf=High
[OK] Q2022-548 | Preventive Care | RSV Prophylaxis in Preterm Infants | Management | conf=High
[OK] Q2022-549 | Emergent and Urgent Care | Acute Diverticulitis Management | Pharmacology | conf=High
[OK] Q2022-550 | Chronic Care Management | Premature Ventricular Contractions | Management | conf=High
[OK] Q2022-551 | Preventive Care | Female Athlete Triad | Pathophysiology | conf=High
[OK] Q2022-552 | Preventive Care | Breastfeeding Health Benefits | Counseling | conf=High
[OK] Q2022-553 | Emergent and Urgent Care | Crisis Resource Allocation Ethics | Management | conf=High
[OK] Q2022-554 | Acute Care and Diagnosis | Greater Trochanteric Pain Syndrome | Diagnosis | conf=High
[OK] Q2022-555 | Preventive Care | Influenza Vaccination | Management | conf=High
[OK] Q2022-556 | Preventive Care | Cardiovascular Risk Screening | Screening | conf=High
[OK] Q2022-557 | Preventive Care | Cancer Treatment Surveillance | Screening | conf=High
[OK] Q2022-558 | Chronic Care Management | Male Infertility Evaluation | Diagnosis | conf=High
[OK] Q2022-559 | Chronic Care Management | Disruptive Behavior Disorder Evaluation | Diagnosis | conf=High
[OK] Q2022-560 | Emergent and Urgent Care | Croup Management | Management | conf=High
[OK] Q2022-561 | Preventive Care | Exercise Prescription and Physical Activity | Counseling | conf=High
[OK] Q2022-562 | Acute Care and Diagnosis | Tinea Versicolor Diagnosis and Treatment | Management | conf=High
[OK] Q2022-563 | Chronic Care Management | Maturity-Onset Diabetes of the Young | Diagnosis | conf=Medium
[OK] Q2022-564 | Acute Care and Diagnosis | Acute Low Back Strain | Pharmacology | conf=High
[OK] Q2022-565 | Preventive Care | Hepatitis A Postexposure Prophylaxis | Management | conf=High
[OK] Q2022-566 | Preventive Care | Pediatric Hypertension Screening | Screening | conf=High
[OK] Q2022-567 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2022-568 | Acute Care and Diagnosis | Pertussis Diagnosis | Diagnosis | conf=High
[OK] Q2022-569 | Acute Care and Diagnosis | Wound Cleaning and Care | Management | conf=High
[OK] Q2022-570 | Chronic Care Management | Adrenal Incidentaloma Evaluation | Diagnosis | conf=High
[OK] Q2022-571 | Acute Care and Diagnosis | Toddler Limb Pain and Limp | Management | conf=High
[OK] Q2022-572 | Chronic Care Management | Orthostatic Hypotension | Pharmacology | conf=High
[OK] Q2022-573 | Chronic Care Management | COPD Management | Management | conf=High
[OK] Q2022-574 | Preventive Care | Eating Disorder Screening | Screening | conf=High
[OK] Q2022-575 | Preventive Care | Hormonal Contraception Initiation | Management | conf=High
[OK] Q2022-576 | Acute Care and Diagnosis | Kawasaki Disease | Diagnosis | conf=High
[OK] Q2022-577 | Acute Care and Diagnosis | De Quervain's Tenosynovitis | Diagnosis | conf=High
[OK] Q2022-578 | Foundations of Care | Advance Care Planning and POLST | Counseling | conf=High
[OK] Q2022-579 | Preventive Care | Colorectal Cancer Screening | Screening | conf=High
[OK] Q2022-580 | Acute Care and Diagnosis | COPD Exacerbation Management | Management | conf=High
[OK] Q2022-581 | Acute Care and Diagnosis | Deep Vein Thrombosis Management | Management | conf=High
[OK] Q2022-582 | Chronic Care Management | Thyroid Nodule Evaluation | Diagnosis | conf=High
[OK] Q2022-583 | Chronic Care Management | Obsessive-Compulsive Disorder | Management | conf=High
[OK] Q2022-584 | Acute Care and Diagnosis | Meralgia Paresthetica | Diagnosis | conf=High
[OK] Q2022-585 | Acute Care and Diagnosis | Asymptomatic Microscopic Hematuria | Diagnosis | conf=High
[OK] Q2022-586 | Acute Care and Diagnosis | Lyme Disease Diagnosis | Diagnosis | conf=High
[OK] Q2022-587 | Acute Care and Diagnosis | Osgood-Schlatter Disease | Diagnosis | conf=High
[OK] Q2022-588 | Acute Care and Diagnosis | Spirometry Interpretation | Interpretation | conf=High
[OK] Q2022-589 | Acute Care and Diagnosis | Secondary Hypertension Diagnosis | Diagnosis | conf=High
[OK] Q2022-590 | Acute Care and Diagnosis | Oral Viral Infections | Management | conf=High
[OK] Q2022-591 | Chronic Care Management | Macrocytic Anemia Etiology | Diagnosis | conf=High
[OK] Q2022-592 | Counseling | Home Birth Risk Assessment | Counseling | conf=High
[OK] Q2022-593 | Preventive Care | NAFLD Screening | Screening | conf=High
[OK] Q2022-594 | Chronic Care Management | Hypercalcemia and Vitamin Toxicity | Diagnosis | conf=High
[OK] Q2022-595 | Acute Care and Diagnosis | Adrenal Insufficiency Diagnosis | Diagnosis | conf=High
[OK] Q2022-596 | Chronic Care Management | ADHD Management in Children | Management | conf=High
[OK] Q2022-597 | Emergent and Urgent Care | Acute Knee Injury | Diagnosis | conf=High
[OK] Q2022-598 | Foundations of Care | Advance Directives and Code Status | Management | conf=High
[OK] Q2022-599 | Chronic Care Management | Atrial Fibrillation Management | Management | conf=High
[OK] Q2022-600 | Acute Care and Diagnosis | Influenza Treatment in Pregnancy | Pharmacology | conf=High
[OK] Q2023-601 | Emergent and Urgent Care | Superior Vena Cava Syndrome | Management | conf=High
[OK] Q2023-602 | Chronic Care Management | Asthma Management | Pharmacology | conf=High
[OK] Q2023-603 | Chronic Care Management | NSAID-Related Gastroprotection | Pharmacology | conf=High
[OK] Q2023-604 | Chronic Care Management | Cognitive Impairment and Dementia | Diagnosis | conf=High
[OK] Q2023-605 | Chronic Care Management | Temporomandibular Disorder Management | Pharmacology | conf=High
[OK] Q2023-606 | Chronic Care Management | Hypothyroidism Diagnosis | Diagnosis | conf=High
[OK] Q2023-607 | Preventive Care | Postpartum Depression Screening | Diagnosis | conf=High
[OK] Q2023-608 | Preventive Care | Testicular Cancer Screening | Screening | conf=High
[OK] Q2023-609 | Chronic Care Management | Delirium Management in Palliative Care | Pharmacology | conf=High
