QuestionID,ExamYear,QuestionStem,BodySystem,Subcategory,BlueprintCategory_Predicted,CorrectAnswer
Q2020-126,2020,"A 65-year-old male presents to your office with bilateral weakness that has been present for
several weeks. He notes increasing difficulty in climbing stairs but is able to walk on his toes
and heels normally. He can open a jar and turn a doorknob without difficulty but has trouble
reaching up to an overhead shelf. The history is confirmed by a physical examination.
Which one of the following is most often associated with this type of muscle weakness?
A) Fluoroquinolone use
B) Frailty syndrome
C) Guillain-BarrÃ© syndrome
D) Multiple sclerosis
E) Polymyositis

A) 
B) 
C) 
D) 
E) ",Neurologic,Diagnosis,Acute Care and Diagnosis,E
Q2020-127,2020,"At a routine visit, a 65-year-old male former smoker reports shortness of breath and a cough that
has been worsening slowly over the last 6 months. On examination you hear bibasilar inspiratory
crackles. An EKG, chest radiograph, and echocardiogram are normal. CT of the chest shows
multiple bilateral patchy areas of consolidation.
The most appropriate next step is to
A) take a detailed history of medication use and lifetime environmental exposures
B) start an antibiotic
C) start furosemide (Lasix)
D) start an inhaled short-acting  -agonist as needed
E) refer for pulmonary rehabilitation
45

A) 
B) 
C) 
D) 
E) ",Respiratory,Pharmacology,Emergent and Urgent Care,A
Q2020-128,2020,"A 24-year-old male with sickle cell disease (Hb SS) presents to the emergency department (ED)
with a 5-day history of severe pain in his lower back, legs, and shoulders. The review of
systems is positive for jaundice and scleral icterus, but is negative for headache, chest pain,
shortness of breath, and priapism. He reports that his symptoms are typical of his previous
vaso-occlusive pain, and he believes this episode was triggered by the recent cold weather. He
tried to avoid coming to the ED by using oral medication at home, including naproxen, 500 mg
twice daily, and immediate-release oxycodone (Roxicodone), 10 mg every 4 hours as needed.
He takes no other medications and reports no known drug allergies. He is pain free on
approximately 75% of days, and he can typically manage his pain at home during the remaining
times.
The patientâ€™s vital signs are unremarkable except for a mildly elevated pulse rate of 102
beats/min. His WBC count is 17,000/mm3 (N 5000â€“10,000) and his hemoglobin level is at its
baseline of 8.0 g/dL. The patient is admitted to the hospital for intravenous fluids and pain
medications via patient-controlled analgesia. This is his second admission of the year for a
vaso-occlusive pain crisis. He responds well over the next few days and is discharged to home
in good condition.
Which one of the following should be discussed with the patient at follow-up?
A) Daily hydroxyurea therapy
B) Oral penicillin prophylaxis
C) Switching from immediate-release oxycodone to long-acting oxycodone (OxyContin)
twice daily
D) Annual transcranial Doppler ultrasonography
E) Scheduled blood transfusions to maintain a hemoglobin level >10 g/dL

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Emergent and Urgent Care,A
Q2020-129,2020,"A healthy 26-year-old female would like to start using regular contraception and asks about her
options. Her menses are normal and her last menstrual period was 10 days ago.
If initiated today, which one of the following contraceptive methods does NOT require the use
of backup contraception?
A) Oral contraceptives
B) An etonogestrel subdermal implant (Nexplanon)
C) A copper-containing IUD (ParaGard)
D) A levonorgestrel IUD (Mirena)

A) 
B) 
C) 
D) 
E) ",Reproductive: Female,Management,Preventive Care,C
Q2020-130,2020,"In a patient with documented Helicobacter pylori infection, which one of the following studies
should be performed to document clearance of the infection?
A) An H. pylori IgG level
B) An H. pylori IgM level
C) A stool antigen test 1 week after the completion of antibiotic therapy
D) A urea breath test 1 month after the completion of antibiotic therapy
E) A gastric biopsy
46

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Pharmacology,Acute Care and Diagnosis,D
Q2020-131,2020,"A 26-year-old female with a history of bipolar disorder sees you for follow-up of chronic joint
pain. The review of systems is positive for intermittent rashes on the dorsal hands and face and
left-sided pleuritic chest pain. An examination reveals tender swelling of the hand and wrist
joints bilaterally. Examination of the lungs reveals diminished breath sounds at the left base with
point-of-care ultrasonography findings consistent with a small pleural effusion. Initial laboratory
tests are significant for a platelet count of 96,000/mm3 (N 130,000â€“450,000), a positive
antinuclear antibody test with a 1:80 titer (N <1:40), and negative Lyme disease and HIV tests.
Which one of the following would help confirm your suspected diagnosis?
A) Elevated anticyclic citrullinated peptide antibodies
B) Elevated antiâ€“smooth muscle antibodies
C) Elevated anti-centromere antibodies
D) Low complement levels
E) Positive HLA-B27

A) 
B) 
C) 
D) 
E) ",Nonspecific,Workup,Acute Care and Diagnosis,D
Q2020-132,2020,"A 40-year-old female presents with a 3-month history of symptoms suggestive of carpal tunnel
syndrome. Which one of the following typically results from impairment of the median nerve
in this condition?
A) Weakness of thumb abduction
B) Weakness of flexion in the thumb, index, and middle fingers
C) Numbness on the dorsum of the hand
D) Numbness in the ulnar side of the ring finger and in the little finger
E) Paresthesias or pain in the thumb, index finger, middle finger, and radial side of the ring
finger

A) 
B) 
C) 
D) 
E) ",Neurologic,Diagnosis,Acute Care and Diagnosis,E
Q2020-133,2020,"An 18-year-old male is brought to your clinic by his parents. He reports daily use of alcohol and
opioids that he has been getting illegally from his friends. This habit started 3 years ago when
he started high school.
In addition to counseling, which one of the following pharmacologic agents is indicated to treat
both of his substance use disorders?
A) Acamprosate
B) Bupropion (Wellbutrin)
C) Disulfiram (Antabuse)
D) Methadone
E) Naltrexone
47

A) 
B) 
C) 
D) 
E) ",Psychogenic,Pharmacology,Chronic Care Management,E
Q2020-134,2020,"While serving as team physician at a football game on a hot afternoon you are asked to evaluate
an obese 17-year-old player who has begun limping. The player reports that he is very hot. An
examination is normal except for a gastrocnemius spasm. You diagnose heat cramps. As you
prepare to start treatment with isotonic fluid, stretching, and massage, the coach asks you how
soon the athlete can return to play.
You inform the coach that the player can resume participation
A) now
B) tomorrow
C) upon resolution of his symptoms
D) when his temperature is <38.3Â°C (100.9Â°F)
E) after acclimating to the heat for 1 week

A) 
B) 
C) 
D) 
E) ",Nonspecific,Management,Acute Care and Diagnosis,C
Q2020-135,2020,"Which one of the following patients should receive antibiotic prophylaxis to prevent infective
endocarditis prior to having dental work that will include periodontal manipulation?
A) A 6-year-old male with an unrepaired atrial septal defect
B) A 32-year-old female with mitral valve prolapse with significant regurgitation
C) A 52-year-old male with a past history of a transcatheter aortic valve replacement
D) A 60-year-old male with atrial fibrillation due to rheumatic mitral valve disease
E) A  70-year-old  female  with  hemodynamically  significant  aortic  stenosis/aortic
insufficiency

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Chronic Care Management,C
Q2020-136,2020,"A 55-year-old female presents to your office because she has intermittent locking of her right
ring finger when it is flexed. It is painful and she often has to use her other hand to extend the
finger. Her work involves repetitive movement of her hands and she requests a treatment option
that will involve as little missed time from work as possible.
Which one of the following would be the most cost-effective option?
A) NSAIDs
B) A corticosteroid injection
C) Splinting of the distal interphalangeal joint
D) Physical therapy
E) Surgical correction

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Treatment,Acute Care and Diagnosis,B
Q2020-137,2020,"In patients hospitalized with acute respiratory infections, procalcitonin levels are useful for
A) nutritional status assessment
B) reducing inappropriate use of antibiotics
C) ruling out pulmonary embolism
D) early identification of the syndrome of inappropriate secretion of antidiuretic hormone
(SIADH)
E) identifying acute respiratory distress syndrome
48

A) 
B) 
C) 
D) 
E) ",Respiratory,Pharmacology,Acute Care and Diagnosis,B
Q2020-138,2020,"A 36-year-old male sees you for follow-up of progressive fatigue and lightheadedness that has
worsened over the past 3 months. He has lost 5 kg (11 lb) during this time. On examination he
has a BMI of 21 kg/m2, a blood pressure of 88/48 mm Hg, and a pulse rate of 66 beats/min. A
skin examination is notable for patches of nonpigmented skin on the hands. Initial laboratory
testing is significant for a sodium level of 132 mEq/L (N 135â€“145) and a potassium level of 5.3
mEq/L (N 3.5â€“5.0).
Which one of the following tests would confirm the most likely diagnosis?
A) 17-hydroxyprogesterone
B) ACTH stimulation
C) Dexamethasone suppression
D) Late night salivary cortisol
E) Plasma renin and aldosterone

A) 
B) 
C) 
D) 
E) ",Endocrine,Diagnosis,Acute Care and Diagnosis,B
Q2020-139,2020,"A 45-year-old female sees you for the first time for a health maintenance visit. She has a history
of chronic low and midback pain for several years, which she treats with ibuprofen, muscle
relaxers, and a heating pad. She takes a combined oral contraceptive pill to control heavy
menstrual cycles. She recently went to an urgent care clinic for treatment of an upper respiratory
tract infection. She also mentions the gradual appearance of a rash on her back but says that it
does not bother her. A skin examination is notable for reticular brown hyperpigmentation of her
entire back (shown below).
Which one of the following is the most likely cause of the skin changes?
A) Erythema ab igne
B) Henoch-SchÃ¶nlein purpura
C) Idiopathic guttate hypomelanosis
D) Tinea versicolor

A) 
B) 
C) 
D) 
E) ",Integumentary,Diagnosis,Acute Care and Diagnosis,A
Q2020-140,2020,"A patient born in 1954 requests screening for hepatitis C. His anti-HCV antibody screen is
positive.
Which one of the following would be most appropriate at this point?
A) A confirmatory second anti-HCV test in 4â€“6 weeks
B) A qualitative HCV RNA test
C) Quantitative HCV genotyping
D) Treatment with a dual antiviral regimen pending additional testing
E) Referral for a percutaneous liver biopsy
49
Item #139
50

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Screening,Preventive Care,B
Q2020-141,2020,"You are caring for an 84-year-old female with Alzheimerâ€™s dementia. She is disoriented to time
but usually oriented to person and place. She is homebound but is frequently visited by family.
The patientâ€™s daughter feels conflicted but wants her mother to go to a skilled care facility. The
patient is adamant that she does not want to leave her home. During a recent home visit you
noted that she smelled of urine and had a severe intertriginous rash suspicious for Candida. Her
bedside Mini-Mental State Examination score was 24/30.
Which one of the following ethical principles should be the primary consideration when
determining whether this patient should continue to live at home?
A) Autonomy
B) Competence
C) Harm
D) Justice
E) Safety

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Management,Foundations of Care,A
Q2020-142,2020,"A 38-year-old male presents with a 2-month history of increased postprandial nausea and
nonbloody, painless, loose stools. He feels well otherwise. Ten months ago he underwent
bariatric surgery, which involved creating a small stomach pouch. There were no complications
from the surgery and he does not take any medications. A review of his diet reveals that he has
three small meals and two snacks daily. He has one serving of vegetables or bread with each
meal. He has 16 oz of coffee with breakfast, 12 oz of soda with lunch, 12 oz of beer with
dinner, and a cup of water or milk with snacks. His snack is usually cheese or peanut butter and
a cracker. An examination is unremarkable.
You are concerned with his diet habits and your recommendations include
A) no fluid for 15 minutes before or after meals and snacks
B) limiting carbonated beverages to 8 oz per meal or snack
C) increasing daily servings of fibrous vegetables and whole grain breads
D) eating one meal and three snacks daily
E) eating a diet lower in fat
51

A) 
B) 
C) 
D) 
E) ",Nonspecific,Pharmacology,Acute Care and Diagnosis,A
Q2020-143,2020,"A healthy 52-year-old male who runs for 40 minutes 4â€“5 times per week comes to your office
because he has recently noted pain in the inner aspect of his right knee along the joint line. He
also reports mild swelling and stiffness in his knee along with a â€œclickingâ€ sensation when he
flexes and extends it. In addition, he says that at unpredictable times he feels like his knee
â€œmight give way.â€ During the examination he reports pain along the medial joint line with
palpation, and the McMurray test is positive. A subsequent MRI demonstrates a degenerative
tear in the lateral portion of the medial meniscus with no significant degenerative arthritis. You
begin to discuss a management plan with him, considering various surgical and nonsurgical
options.
Given this patientâ€™s age and clinical findings, which one of the following has been shown to
produce better long-term outcomes than conservative management?
A) Intra-articular corticosteroids
B) Hylan GF 20 (Synvisc)
C) Arthroscopic meniscectomy
D) Arthroscopic meniscus repair
E) No additional treatment strategies

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Treatment,Acute Care and Diagnosis,E
Q2020-144,2020,"Which one of the following clinical features is a component of the STOP-Bang questionnaire
used as a screening tool for obstructive sleep apnea?
A) Blood pressure
B) Pulse rate
C) Resting oxygen saturation
D) Smoking status
E) Waist circumference

A) 
B) 
C) 
D) 
E) ",Respiratory,Screening,Foundations of Care,A
Q2020-145,2020,"A 12-year-old male is brought to your office by his guardian. In the last 12 months he was
suspended from school multiple times for bullying and fighting. He kicks the family dog and
goes out at night without permission. He ran away from home 2 weeks ago and he lies
constantly. He skips school and does not care about his grades. Attention-deficit/hyperactivity
disorder was previously ruled out. Two days ago he was grounded and retaliated by destroying
his guardianâ€™s computer. During the office visit he says school is â€œboring and stupid.â€ 
Which one of the following would be the most appropriate next step in managing this patient?
A) Carbamazepine (Tegretol)
B) Haloperidol
C) Lithium
D) Quetiapine (Seroquel)
E) Referral for psychosocial intervention
52

A) 
B) 
C) 
D) 
E) ",Psychogenic,Management,Chronic Care Management,E
Q2020-146,2020,"A 35-year-old female presents with fatigue. She follows a strict vegan diet and does not take any
medications. There is no history of any abnormal bleeding. Although she has had fatigue for 2
years, she now notices that she has a craving for ice. Results of a laboratory evaluation are
shown below.
WBCs ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 5100/mm3 (N 3400â€“10,800)
   Basophilsï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 0.0 Ã— 103/ L (N 0.0â€“0.2)
   Immature granulocytesï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 0%
   Immature granulocyte countï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 0.0 Ã— 103/ L (N 0.0â€“0.1)
Plateletsï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 271,000/mm3 (N 150,000â€“379,000)
RBCsï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 4.75 million/mm3 (N 3.77â€“5.28)
   Reticulocytesï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 1.2% (N 0.6â€“2.6)
Hemoglobin ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 9.2 g/dL (N 11.1â€“15.9)
Hematocrit ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 32.3% (N 34.0â€“46.6)
Mean corpuscular volume ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 68  m3 (N 79â€“97)
Mean corpuscular hemoglobinï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 19.4 pg/cell (N 26.6â€“33.0)
Mean corpuscular hemoglobin
   concentrationï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 28.5 g/dL (N 31.5â€“35.7)
RDWï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 18.1% (N 12.3â€“15.4)
Total iron binding capacity ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 519  g/dL (N 250â€“450)
Unsaturated iron binding capacityï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 482  g/dL (N 131â€“425)
Iron ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 37  g/dL (N 27â€“159)
Iron saturationï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 7% (N 15â€“55)
Transferrin ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 405 mg/dL (N 200â€“370)
Ferritin ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 4 ng/mL (N 15â€“150)
Vitamin B ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 353 pg/mL (N 160â€“950)
12
Given these results, which one of the following would be the next step in the management of this
patient?
A) Recheck her hemoglobin level in 3 months
B) Start ferrous sulfate, 325 mg orally
C) Order an intravenous iron infusion
D) Order a blood transfusion
E) Refer for colonoscopy

A) 
B) 
C) 
D) 
E) ",Hematologic/ Immune,Pharmacology,Emergent and Urgent Care,B
Q2020-147,2020,"In a patient on chronic warfarin (Coumadin) therapy who has a stable INR in the therapeutic
range, which one of the following antibiotics would be most likely to elevate the INR?
A) Cephalexin (Keflex)
B) Clindamycin (Cleocin)
C) Penicillin G
D) Rifampin (Rifadin)
E) Trimethoprim/sulfamethoxazole (Bactrim)
53

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Acute Care and Diagnosis,E
Q2020-148,2020,"A 6-month-old male is brought to your office by his parents for a well child check. He is their
first child. On examination you note that he has two erupted teeth. The family lives in a town
with fluoridated water and the parents would like to know how to care for their childâ€™s teeth.
Which one of the following is the most effective preventive measure for this childâ€™s newly
erupted teeth?
A) No care is needed at this point
B) A parent wiping or brushing the teeth with water twice daily
C) A parent brushing the teeth with a smear of low-fluoride toothpaste twice daily
D) A fluoride supplement daily
E) Topical sealants

A) 
B) 
C) 
D) 
E) ",Special Sensory,Prevention,Preventive Care,C
Q2020-149,2020,"A 36-year-old male presents with a 6-week history of a mildly pruritic rash in his groin. An
examination reveals small red-brown macules and larger patches with a sharp border. A Woodâ€™s
lamp examination reveals coral-red fluorescence.
Which one of the following would be the most appropriate treatment for this condition?
A) 0.1% triamcinolone cream
B) 2.5% hydrocortisone cream
C) Nystatin cream
D) Erythromycin gel
E) Fluconazole (Diflucan) orally

A) 
B) 
C) 
D) 
E) ",Integumentary,Treatment,Acute Care and Diagnosis,D
Q2020-150,2020,"A 46-year-old female with symptoms of solid and liquid dysphagia undergoes esophageal
manometry for suspected achalasia. These symptoms of achalasia are caused by which one of
the following pathophysiologic mechanisms?
A) More than 50% of swallows being weak or failed
B) Aperistalsis in the distal two-thirds of the esophagus, with incomplete lower esophageal
sphincter relaxation
C) High-pressure esophageal contractions, with normal relaxation of the esophagogastric
junction
D) Increased premature contractions of the distal esophagus, with normal relaxation of the
esophagogastric junction
E) Mechanical obstruction due to an upper esophageal web

A) 
B) 
C) 
D) 
E) ",Nonspecific,Pathophysiology,Acute Care and Diagnosis,B
Q2020-151,2020,"Which one of the following symptoms is most consistent with plantar fasciitis?
A) Burning over the inferomedial aspect of the calcaneus
B) Pain with resisted flexion of the great toe
C) Paresthesia in the plantar aspect of the foot
D) Swelling and pain in the retrocalcaneal region
E) Stabbing pain over the anteromedial plantar aspect of the heel
54

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Diagnosis,Emergent and Urgent Care,E
Q2020-152,2020,"A 65-year-old female comes to your office for her Welcome to Medicare visit. Her current
medication regimen includes losartan (Cozaar), 50 mg daily, for hypertension; oxybutynin, 5
mg daily, for overactive bladder; doxepin, 5 mg at night, for depression and insomnia; and
atorvastatin (Lipitor), 10 mg daily, for hyperlipidemia. She is doing well on her current
medications and is requesting refills today.
You advise her that the benefits of her current regimen for her overactive bladder and depression
need to be weighed against her increased risk of
A) cirrhosis
B) dementia
C) Parkinsonâ€™s disease
D) peripheral vascular disease
E) pulmonary fibrosis

A) 
B) 
C) 
D) 
E) ",Psychogenic,Counseling,Chronic Care Management,B
Q2020-153,2020,"The U.S. Preventive Services Task Force recommends vision screening to detect amblyopia
A) at 2 years of age
B) at 3â€“5 years of age
C) the summer before the child enters first grade
D) once at 4â€“5 years of age and once at 8â€“9 years of age

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Screening,Preventive Care,B
Q2020-154,2020,"A 65-year-old female sees you to establish primary care. Her past medical history is significant
only  for  hypertension,  which is  well  managed  on  hydrochlorothiazide, and  menopausal
symptoms managed with oral estrogen/progestogen for the past 10 years. She has no current
health concerns and her vital signs are normal. She requests a refill of her hormone medication.
Which one of the following would be most appropriate at this time?
A) Refill her hormone medication, but with a tapering schedule to end the therapy
B) Recommend  switching  from  oral  hormone  therapy  to  vaginal  estrogen  and  oral
progestogen
C) Discuss the possible risks of continued hormone therapy before deciding whether she
should continue
D) Order a bone density test and use the results to determine whether to continue hormone
therapy
E) Recommend discontinuation of hormone therapy as soon as possible, as she has already
been on the treatment for more than 5 years
55

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Chronic Care Management,C
Q2020-155,2020,"A 42-year-old male comes to your office for a health maintenance evaluation. He has not been
to your office in the past 5 years and has no medical issues. He tells you that his father was
diagnosed with hyperlipidemia and hypertension in his sixties. He recently used an online clinic
where he could get free medical advice and testosterone testing. He was advised to see you for
a stress test. He has recently started an exercise program and is walking 5 days a week for 30
minutes a day with no significant chest pain or shortness of breath. He wants to start running and
work up to a 5K race.
Based on U.S. Preventive Services Task Force and other expert guidelines on stress testing,
which one of the following would you advise for this patient?
A) No stress testing
B) An exercise EKG
C) Exercise echocardiography
D) An exercise sestamibi stress test
E) Dobutamine stress echocardiography

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Counseling,Preventive Care,A
Q2020-156,2020,"A 28-year-old gravida 2 para 1 at 28 weeks gestation sees you because her 2-year-old son was
diagnosed with influenza A earlier that day. She has a history of asthma. Her son had received
the influenza vaccine this influenza season but she had declined due to concerns about adverse
effects on her pregnancy.
In addition to influenza vaccine now, which one of the following is recommended for
postexposure chemoprophylaxis of influenza in this patient?
A) Baloxavir marboxil (Xofluza)
B) Oseltamivir (Tamiflu)
C) Peramivir (Rapivab)
D) Rimantadine (Flumadine)
E) Zanamivir (Relenza)
56

A) 
B) 
C) 
D) 
E) ",Respiratory,Prevention,Acute Care and Diagnosis,B
Q2020-157,2020,"A 34-year-old female comes to your office for follow-up after an emergency department visit
because of anxiety. She notes persistent anxiety, poor focus, and palpitations. She also reports
that she is not hungry and has lost several pounds. She reports â€œodd things happeningâ€ such as
sudden weakness in her legs, falling, and getting lost.
When taking her history you note that the patient is hyperverbal and displays tangential speech.
She has a temperature of 37.4Â°C (99.3Â°F), a heart rate of 134 beats/min, a respiratory rate of
20/min,  and  a  blood  pressure  of  117/69  mm  Hg.  A  physical  examination  reveals  an
anxious-appearing female who is tremulous at rest. A HEENT examination shows exophthalmos
but no thyromegaly. A cardiac examination is unremarkable aside from tachycardia. A
pulmonary examination reveals faint bibasilar crackles. An EKG shows sinus tachycardia.
Laboratory results are as follows: 
CBC ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® within normal limits
Basic metabolic panelï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® within normal limits
TSHï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® <0.08  U/mL (N 0.35â€“3.00)
Free T ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 4.51 ng/dL (N 0.89â€“1.80)
4
Free T ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® >19.0 pg/dL (N 2.3â€“4.2)
3
Which one of the following would be most appropriate at this point?
A) Start methimazole (Tapazole)
B) Check for thyroid receptor antibody
C) Obtain a radioactive iodine uptake scan
D) Refer her to endocrinology
E) Admit her to the hospital

A) 
B) 
C) 
D) 
E) ",Endocrine,Workup,Emergent and Urgent Care,E
Q2020-158,2020,"A 19-year-old football player presents to your office after being removed from a game when he
sustained a head injury. He has vomited twice since the injury and is disoriented. You determine
that imaging is indicated.
Which one of the following would be most appropriate at this time?
A) Plain radiography of the skull
B) CT of the head
C) MRI of the brain
D) Functional MRI of the brain
57

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Workup,Emergent and Urgent Care,B
Q2020-159,2020,"A 58-year-old male with uncontrolled type 2 diabetes sees you for follow-up after a recent
hospitalization for urosepsis treatment with intravenous antibiotic therapy. His hospital course
was  complicated  by Clostridioides (Clostridium) difficile  colitis,  and  he  completed oral
vancomycin (Vancocin) therapy 2 weeks ago. He was nearly back to his baseline but has had
recurrent watery diarrhea for the past 3 days. You confirm a recurrent infection.
Which one of the following would be the most appropriate treatment?
A) Probiotics
B) Fidaxomicin (Dificid), 200 mg twice daily for 10 days
C) Metronidazole (Flagyl), 500 mg three times daily for 10 days
D) Vancomycin, 125 mg four times daily for 10 days
E) Fecal microbiota transplantation

A) 
B) 
C) 
D) 
E) ",Respiratory,Pharmacology,Acute Care and Diagnosis,B
Q2020-160,2020,"A 26-year-old female presents to your office after surviving a tornado that destroyed her home
3 months ago. She reports continued intense fear and anxiety when there is a storm. You
diagnose her with posttraumatic stress disorder.
Which one of the following has the best evidence of effectiveness for her condition?
A) Amitriptyline
B) Atypical antipsychotics
C) Benzodiazepines
D) Topiramate (Topamax)
E) Cognitive-behavioral therapy

A) 
B) 
C) 
D) 
E) ",Psychogenic,Pharmacology,Chronic Care Management,E
Q2020-161,2020,"A 59-year-old male presents with pain over the lateral distal aspect of his right foot. He states
that he accidentally struck a filing cabinet with his foot about 5 days ago. He immediately had
pain and swelling over the dorsum of his foot and his second to fifth toes, and there has been no
improvement. He has tried buddy taping his toes but this has not provided any relief.
A physical examination is notable for trace edema over the dorsum of the right foot and
tenderness  to  palpation  over  the  distal  fifth  metatarsal  and  fifth  phalanx.  The  foot  is
neurovascularly intact with a strong dorsalis pedis pulse and normal sensation. A radiograph of
the right foot is shown below.
In addition to pain control, which one of the following would be most appropriate?
A) A rigid-sole shoe and weight bearing as tolerated
B) A pneumatic brace and weight bearing as tolerated
C) A short leg walking cast and weight bearing as tolerated
D) A posterior splint and no weight bearing
E) Immediate referral to an orthopedic surgeon and no weight bearing
58
Item #161
59

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Diagnosis,Emergent and Urgent Care,A
