QuestionID,ExamYear,QuestionStem,BodySystem,ClinicalCategory,Subcategory,BlueprintCategory,BlueprintCategory_Predicted,CorrectAnswer,Reference
Q2023-672,2023,"A 34-year-old female presents to your office and insists that she be seen. She seeks your care
frequently, showering you with compliments. Today she says that she feels depressed and hurts
â€œall over.â€ She reports that your medical assistant is not being friendly to her. She states that
her symptoms started a few days ago, after her boyfriend broke up with her. She had thought
he would propose soon although they had been dating for 2 months. She says he must have left
her because she is unattractive. She asks to be tested for sexually transmitted infections since she
frequently engages in unprotected intercourse. She was recently pulled over by a police officer
for reckless driving, but states she was being punished unfairly.
A physical examination reveals a BMI of 31 kg/m2, stable vital signs, and several scars on her
upper arms, but is otherwise unremarkable. She appears anxious and depressed, and as in the
past, mentions suicidal thoughts. Your staff asks you if she is just a difficult patient or whether
a disease process is involved.
Which one of the following is the most likely diagnosis for this patient?
A) Bipolar disorder
B) Borderline personality disorder
C) Generalized anxiety disorder
D) Major depressive disorder
E) Posttraumatic stress disorder
27

A) 
B) 
C) 
D) 
E) ",Psychogenic,Mental Health,Diagnosis,,Chronic Care Management,B,"Mendez-Miller M, Naccarato J, Radico JA. Borderline personality disorder. Am Fam Physician. 2022;105(2):156-161."
Q2023-673,2023,"Overdiagnosis is defined as the diagnosis of a condition that, if unrecognized, would not cause
symptoms or harm during the patientâ€™s lifetime. Which one of the following interventions has
the best likelihood of reducing overdiagnosis?
A) Broadening the criteria for diagnosis of a condition
B) Creating financial incentives for more testing
C) Focusing screening efforts on populations at highest risk for a disease
D) Redefining risk factors as pre-diseases
E) Using more sensitive screening tests

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Adult Medicine,Screening,,Foundations of Care,C,"Kale MS, Korenstein D. Overdiagnosis in primary care: framing the problem and finding solutions. BMJ. 2018;362:k2820."
Q2023-674,2023,"A 53-year-old female sees you because she would like treatment for hot flashes that she finds
quite bothersome. Her last menstrual period was 8 months ago. She has a history of unprovoked
deep vein thrombosis and a history of depression that is treated with venlafaxine (Effexor XR).
In addition to optimizing the dosage of her venlafaxine, which one of the following would be
most effective for treatment of her hot flashes?
A) Black cohosh
B) Clonidine
C) Gabapentin (Neurontin)
D) Oral progesterone
E) Topiramate (Topamax)

A) 
B) 
C) 
D) 
E) ",Nonspecific,Adult Medicine,Treatment,,Chronic Care Management,C,"Crandall CJ, Mehta JM, Manson JE. Management of menopausal symptoms: a review. JAMA. 2023;329(5):405-420."
Q2023-675,2023,"A 72-year-old male who underwent total left knee arthroplasty 3 months ago is scheduled for a
routine 6-month dental visit next week. His dentist contacts you for advice regarding antibiotic
prophylaxis to prevent joint infection.
Which one of the following should you recommend?
A) No antibiotic prophylaxis
B) Amoxicillin, 2 g orally, 1 hour before the procedure
C) Ceftriaxone, 1 g parenterally, 1 hour before the procedure
D) Delaying the dental visit for 3 months
E) Contacting the orthopedic surgeon who performed the arthroplasty
28

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Adult Medicine,Management,,Emergent and Urgent Care,A,"American Academy of Orthopaedic Surgeons Appropriate Use Criteria for the Management of Patients Undergoing Dental Procedures, 2016. | Earwood JS, Walker TR, Sue GJC. Septic arthritis: diagnosis and treatment. Am Fam Physician. 2021;104(6):589-597."
Q2023-676,2023,"An 8-year-old female is brought to the emergency department by her parents because of an
asthma exacerbation that started earlier today in the context of a new upper respiratory infection.
This morning she doubled her usual fluticasone (Flovent) inhaler and took 44  g, four puffs. She
has also been taking albuterol (Proventil, Ventolin), 90  g, two puffs every hour for the past 3
hours, with minimal relief of shortness of breath and wheezing.
She has a temperature of 36.9Â°C (98.4Â°F), a respiratory rate of 28/min, a pulse rate of 128
beats/min, and an oxygen saturation of 96% on room air. On examination you note diffuse
expiratory wheezing throughout both lungs. She received nebulized ipratropium/albuterol and
oral prednisolone just prior to your assessment and reports feeling slightly better.
When administered intravenously, which one of the following has the best evidence of
preventing the need for hospital admission for this patientâ€™s acute asthma exacerbation?
A) Diphenhydramine
B) Epinephrine
C) Magnesium
D) Terbutaline
E) Theophylline

A) 
B) 
C) 
D) 
E) ",Respiratory,Emergent & Urgent Care,Pharmacology,,Emergent and Urgent Care,C,"Griffiths B, Kew KM. Intravenous magnesium sulfate for treating children with acute asthma in the emergency department. Cochrane Database Syst Rev. 2016;4(4):CD011050. | Erumbala G, Anzar S, Tonbari A, Salem R, Powell C. Stating the obvious: intravenous magnesium sulphate should be the first parenteral bronchodilator in paediatric asthma exacerbations unresponsive to first-line therapy. Breathe (Sheff). 2021;17(4):210113. | Kwofie K, Wolfson AB. Intravenous magnesium sulfate for acute asthma exacerbation in children and adults. Am Fam Physician. 2021;103(4):245-246. | Global Initiative for Asthma. Global Strategy for Asthma Management and Prevention. Updated 2022."
Q2023-677,2023,"A 90-year-old female sees you regularly for follow-up of several chronic medical conditions
including systolic hypertension, coronary artery disease, previous ischemic stroke, and heart
failure with preserved ejection fraction. Her systolic blood pressure is usually >160 mm Hg
while her diastolic blood pressure is usually <50 mm Hg, making management challenging.
In managing this patientâ€™s blood pressure, an important physiologic consideration is that
coronary artery perfusion is determined by which one of the following?
A) Diastolic blood pressure
B) Systolic blood pressure
C) Mean arterial pressure
D) Pulse pressure
E) Ejection fraction

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Adult Medicine,Management,,Chronic Care Management,A,"Rosendorff C, Lackland DT, Allison M, et al. Treatment of hypertension in patients with coronary artery disease: a scientific statement from the American Heart Association, American College of Cardiology, and American Society of Hypertension. Circulation. 2015;131(19):e435-e470. | Benetos A, Petrovic M, Strandberg T. Hypertension management in older and frail older patients. Circ Res. 2019;124(7):1045-1060."
Q2023-678,2023,"A 54-year-old male with cervical disc disease, generalized anxiety disorder, and opioid use
disorder on maintenance therapy presents with a 5-day history of pain and numbness in both
hands and feet. He mentions that he had a COVID-19 booster vaccination 6 weeks ago.
On the review of systems, he reports increased urinary frequency and feeling less steady on his
feet. A neurologic examination is notable for a slightly wide-based gait, decreased sensation in
the upper extremities to the forearms and lower extremities to the calves, and brisk Achilles
reflexes with clonus. His muscle strength is normal in both the upper and lower extremities, and
there is no spinal tenderness. The remainder of the examination, including vital signs, is normal.
Which one of the following diagnoses is most consistent with this presentation?
A) Cervical myelopathy
B) Epidural abscess
C) Guillain-BarrÃ© syndrome
D) Multiple sclerosis
29

A) 
B) 
C) 
D) 
E) ",Neurologic,Adult Medicine,Diagnosis,,Acute Care and Diagnosis,A,"Kane SF, Abadie KV, Willson A. Degenerative cervical myelopathy: recognition and management. Am Fam Physician. 2020;102(12):740-750."
Q2023-679,2023,"An otherwise healthy 70-year-old male presents with a 6-month history of hives recurring every
week or so. A causative factor is not identified through the history and physical examination.
Which one of the following is recommended as the first-line treatment for this patientâ€™s chronic
urticaria?
A) A first-generation H -antihistamine
1
B) A second-generation H -antihistamine
1
C) An H -antihistamine
2
D) Omalizumab (Xolair)
E) Prednisone

A) 
B) 
C) 
D) 
E) ",Integumentary,Adult Medicine,Treatment,,Acute Care and Diagnosis,B,Lang DM. Chronic urticaria. N Engl J Med. 2022;387(9):824-831.
Q2023-680,2023,"A 20-year-old college football player becomes disoriented and weak during an afternoon practice
in the heat. On the field, he is sweaty and tachycardic, with a core (rectal) temperature of

A) 
B) 
C) 
D) 
E) ",Nonspecific,Emergent & Urgent Care,Pharmacology,,Acute Care and Diagnosis,C,"Epstein Y, Yanovich R. Heatstroke. N Engl J Med. 2019;380(25):2449-2459."
Q2023-681,2023,"A 36-year-old female with recently diagnosed polycystic ovary syndrome (PCOS) sees you to
discuss treatment options. Her menses are irregular and she only has 2â€“3 cycles per year. She
does  not  wish  to  have  any  more  children.  She  has  no  contraindications  to  hormonal
contraceptives. Her BMI is 27 kg/m2.
Which one of the following would be the most appropriate medication to initiate as first-line
PCOS therapy?
A) Finasteride (Proscar)
B) Letrozole (Femara)
C) Metformin
D) Norgestimate/ethinyl estradiol (Sprintec)
E) Spironolactone (Aldactone)
30

A) 
B) 
C) 
D) 
E) ",Endocrine,Adult Medicine,Pharmacology,,Chronic Care Management,D,"American College of Obstetricians and Gynecologists’ Committee on Practice Bulletins—Gynecology. ACOG Practice Bulletin No. 194: polycystic ovary syndrome. Obstet Gynecol. 2018;131(6):e157-e171. | Al Wattar BH, Fisher M, Bevington L, et al. Clinical practice guidelines on the diagnosis and management of polycystic ovary syndrome: a systematic review and quality assessment study. J Clin Endocrinol Metab. 2021;106(8):2436-2446. | Williams T, Moore JB, Regehr J. Polycystic ovary syndrome: common questions and answers. Am Fam Physician. 2023;107(3):264-272."
Q2023-682,2023,"A 72-year-old male presents to your office because of right hip pain and difficulty walking. He
notes that the pain is relieved by activity and is worse at night. You obtain a plain film of the hip
(shown below).
An elevation in which one of the following laboratory results would confirm the diagnosis?
A) Alkaline phosphatase
B) Calciferol
C) Creatine phosphokinase
D) Gamma-glutamyl transpeptidase
E) Phosphorus

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Adult Medicine,Workup,,Emergent and Urgent Care,A,"Rianon NJ, des Bordes JK. Paget disease of bone for primary care. Am Fam Physician. 2020;102(4):224-228."
Q2023-683,2023,"For patients with terminal pancreatic cancer, lung cancer, or metastatic melanoma, which one
of the following is the potential increase in life expectancy from receiving hospice care?
A) No increase
B) 3 months
C) 6 months
D) 9 months
E) 12 months

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Community Medicine,Prognosis/Risk,,Foundations of Care,B,"Eichelberger T, Shadiack A. Life expectancy with hospice care. Am Fam Physician. 2018;97(5):online."
Q2023-684,2023,"A 43-year-old male with hypertension and steatohepatitis sees you for follow-up after being
treated for pneumonia and wheezing. On further questioning he reports mild shortness of breath
for the past year. He is a former smoker with a 5-pack-year history. An examination is
significant for diminished breath sounds diffusely, but no crackles or wheezing. Pulmonary
function testing reveals a moderate nonreversible obstructive defect.
Which one of the following tests for genetic conditions would be most appropriate to order in
this patient?
A) -Antitrypsin levels
1
B) Cystic fibrosis gene panel
C) Ehlers-Danlos gene panel
D) Hemochromatosis HFE
E) HLA-B27

A) 
B) 
C) 
D) 
E) ",Respiratory,Adult Medicine,Workup,,Chronic Care Management,A,"Strnad P, McElvaney NG, Lomas DA. -Antitrypsin deficiency. N Engl J Med. 2020;382(15):1443-1455."
Q2023-685,2023,"For patients with atrial fibrillation requiring anticoagulation, which one of the following
concomitant conditions would indicate a need for treatment with warfarin instead of a direct oral
anticoagulant?
A) Congestive heart failure
B) Diabetes mellitus
C) A history of stroke
D) Hypertension
E) Severe mitral stenosis
31
Item #82
32

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Adult Medicine,Management,,Chronic Care Management,E,"Croke L. Management of atrial fibrillation: updated guidance from the AHA, ACC, and HRS. Am Fam Physician. 2020;101(2):123-124."
Q2023-686,2023,"A parent brings their 2-month-old infant to your office for a routine well check. The infant, who
was born at full term, is formula fed and the parent is concerned about vomiting that occurs after
every feeding. After taking a history and examining the infant you diagnose uncomplicated
reflux.
The next appropriate intervention would be
A) prone positioning for sleep
B) celiac testing
C) a trial of thickened feeds
D) a trial of an acid suppressor
E) abdominal ultrasonography

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Care of Children and Adolescents,Prognosis/Risk,,Acute Care and Diagnosis,C,"Rosen R, Vandenplas Y, Singendonk M, et al. Pediatric gastroesophageal reflux clinical practice guidelines: joint recommendations of the North American Society for Pediatric Gastroenterology, Hepatology, and Nutrition and the European Society for Pediatric Gastroenterology, Hepatology, and Nutrition. J Pediatr Gastroenterol Nutr. 2018;66(3):516-554. | Finck A, Morris L. Thickened feedings for infants with gastroesophageal reflux. Am Fam Physician. 2019;100(7):437."
Q2023-687,2023,"A 27-year-old male took a COVID-19 rapid antigen test at home prior to coming to your office
and reports that it was negative. Which one of the following pretest probability factors increases
the likelihood that the test results were falsely negative?
A) No clinical signs or symptoms of COVID-19 infection
B) No known exposure to a person with COVID-19 infection
C) Clinical signs or symptoms that are best explained by an alternative diagnosis such as
influenza
D) A high prevalence of COVID-19 infection in the community

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Community Medicine,Diagnosis,,Preventive Care,D,"Dinnes J, Deeks JJ, Berhane S, et al. Rapid, point-of-care antigen and molecular-based tests for diagnosis of SARS-CoV-2 infection. Cochrane Database Syst Rev. 2021;3(3):CD013705. | Nettleton WD. Interpreting SARS-CoV-2 diagnostic tests: common questions and answers. Am Fam Physician. 2021;103(8):465-472."
Q2023-688,2023,"A 28-year-old gravida 2 para 2 sees you for follow-up of heavy menstrual bleeding. She reports
regular 30-day cycles with heavy bleeding that lasts for 5 days each month. She has tried
ibuprofen and naproxen with minimal improvement. She and her husband desire more children
but would prefer to wait a few years before trying again to conceive.
Which one of the following treatments is likely to be most effective in reducing her menstrual
bleeding, while preserving future fertility?
A) An estrogen-progestin oral contraceptive
B) Tranexamic acid (Lysteda)
C) A levonorgestrel IUD (Mirena)
D) Uterine artery embolization
E) Endometrial ablation
33

A) 
B) 
C) 
D) 
E) ",Reproductive: Female,Care of the Female Patient,Pharmacology,,Chronic Care Management,C,"Matteson KA, Rahn DD, Wheeler TL 2nd, et al. Nonsurgical management of heavy menstrual bleeding: a systematic review. Obstet Gynecol. 2013;121(3):632-643. | Wouk N, Helton M: Abnormal uterine bleeding in premenopausal women. Am Fam Physician 2019;99(7):435-443."
Q2023-689,2023,"A 70-year-old male with a COPD exacerbation is found to have a sodium level of 127 mEq/L
(N 135â€“145). He is alert and oriented although he is in mild respiratory distress. After an
appropriate evaluation, you determine that he has euvolemic hyponatremia from the syndrome
of inappropriate secretion of antidiuretic hormone (SIADH), due to his worsening lung disease.
Aside from addressing his COPD, which one of the following is the most appropriate initial
treatment for his hyponatremia?
A) Fluid restriction
B) Salt restriction
C) Hypertonic saline
D) Furosemide (Lasix)
E) Tolvaptan (Samsca)

A) 
B) 
C) 
D) 
E) ",Nonspecific,Adult Medicine,Treatment,,Acute Care and Diagnosis,A,"Braun MM, Barstow CH, Pyzocha NJ. Diagnosis and management of sodium disorders: hyponatremia and hypernatremia. Am Fam Physician. 2015;91(5):299-307. | Adrogué HJ, Tucker BM, Madias NE. Diagnosis and management of hyponatremia: a review. JAMA. 2022;328(3):280-291."
Q2023-690,2023,"A 70-year-old male presents with an acutely painful, swollen right knee that developed over 2â€“3
days without any known cause. There is no other joint pain. He has had similar, less severe
episodes off and on in the past. He feels well otherwise and has not had any fever, chills, or
rash.
Examination of other joints is negative except for some degenerative changes of the distal
interphalangeal joints of the fingers. Examination of the right knee is notable for warmth,
redness, diffuse tenderness, and swelling. There is no evidence of knee instability, meniscal
injury, or trauma. A knee x-ray shows soft-tissue swelling and chondrocalcinosis (calcification
of the cartilage). Knee aspiration is performed and a synovial fluid Gram stain is negative for
bacteria with other results pending.
Which one of the following is the most likely explanation for these knee findings?
A) Calcium pyrophosphate deposition disease (pseudogout)
B) Gout
C) Osteoarthritis
D) Psoriatic arthritis
E) Septic arthritis
34

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Adult Medicine,Diagnosis,,Acute Care and Diagnosis,A,"Johnson MW. Acute knee effusions: a systematic approach to diagnosis. Am Fam Physician. 2000;61(8):2391-2400. | Swagerty DL Jr, Hellinger D. Radiographic assessment of osteoarthritis. Am Fam Physician. 2001;64(2):279-286. | Eggebeen AT. Gout: an update. Am Fam Physician. 2007;76(6):801-808. | American Academy of Family Physicians. Information from your family doctor. Gout: what you should know. Am Fam Physician. 2007;76(6):811-812. | Pujalte GG, Albano-Aluquin SA. Differential diagnosis of polyarticular arthritis. Am Fam Physician. 2015;92(1):35-41."
Q2023-691,2023,"A 63-year-old male presents to your office because of intermittent chest pain with exertion. He
has been building a new deck and noted the onset of chest pain following particularly intense
workdays. He reports that the pain always resolves with rest, and he has not noticed any lower
extremity edema or difficulty breathing. His past medical history is notable only for hypertension
and coronary artery disease diagnosed 3 years ago. His current medications include atorvastatin
(Lipitor), 40 mg daily; lisinopril (Zestril), 10 mg daily; and aspirin, 81 mg daily.
His vital signs include a weight of 80 kg (176 lb), a height of 178 cm (70 in), a blood pressure
of 138/78 mm Hg, a pulse rate of 80 beats/min, a respiratory rate of 12/min, and an oxygen
saturation of 96% on room air. A physical examination is normal. An EKG reveals normal sinus
rhythm without ST-segment, T-wave, or Q-wave abnormalities.
In addition to prescribing as-needed, immediate-release nitroglycerin, which one of the following
would be the most appropriate pharmacotherapy at this time?
A) Diltiazem (Cardizem LA), 180 mg daily
B) Ezetimibe (Zetia), 10 mg daily
C) Isosorbide mononitrate, 30 mg daily
D) Metoprolol succinate (Toprol-XL), 100 mg daily
E) Ranolazine (Ranexa), 500 mg twice daily

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Adult Medicine,Pharmacology,,Emergent and Urgent Care,D,"Braun MM, Stevens WA, Barstow CH: Stable coronary artery disease: Treatment. Am Fam Physician 2018;97(6):376-384."
Q2023-692,2023,"A 23-year-old graduate student presents to establish care at your office with a 2-week history
of symptoms consistent with a major depressive episode. She reports being given a diagnosis of
unipolar depression at age 16. For several years, she managed her symptoms effectively with
psychotherapy alone. Last year, she was hospitalized for an initial episode of mania with
psychotic features and was treated successfully with lithium and risperidone (Risperdal). After
returning to her graduate studies 1 month later, she maintained a 9-month period of euthymia
on lithium monotherapy before her recent major depressive symptoms began. She does not have
any history of recreational drug use. A physical examination, CBC, comprehensive metabolic
panel, and TSH level are all normal, and a urine pregnancy test is negative.
According to the DSM-5, her mood disorder diagnosis is
A) bipolar I disorder
B) bipolar II disorder
C) bipolar disorder, not otherwise specified
D) cyclothymia
E) schizoaffective disorder

A) 
B) 
C) 
D) 
E) ",Psychogenic,Mental Health,Pharmacology,,Acute Care and Diagnosis,A,"American Psychiatric Association. Diagnostic and Statistical Manual of Mental Disorders. 5th ed. American Psychiatric Association; 2013:123–154. | Marzani G, Price Neff A. Bipolar disorders: evaluation and treatment. Am Fam Physician. 2021;103(4):227-239."
Q2023-693,2023,"Which one of the following is most appropriate for treatment of respiratory syncytial virus
(RSV) bronchiolitis in otherwise healthy hospitalized infants?
A) Supportive care including as-needed oxygen and frequent nasal hygiene
B) Inhaled bronchodilators
C) Nebulized hypertonic saline every 4 hours
D) Systemic corticosteroids
E) Chest physiotherapy three times a day
35

A) 
B) 
C) 
D) 
E) ",Respiratory,Care of Children and Adolescents,Treatment,,Acute Care and Diagnosis,A,"Gadomski AM, Scribani MB. Bronchodilators for bronchiolitis. Cochrane Database Syst Rev. 2014;(6):CD001266. | Heikkilä P, Korppi M. Hypertonic saline in bronchiolitis: an updated meta-analysis. Arch Dis Child. 2021;106(1):102. | Carlone G, Graziano G, Trotta D, et al. Bronchiolitis 2021–2022 epidemic: multicentric analysis of the characteristics and treatment approach in 214 children from different areas in Italy. Eur J Pediatr. 2023;182(4):1921-1927."
Q2023-694,2023,"A 94-year-old male with Alzheimer disease, heart failure, and chronic low back pain is brought
to your office by his daughter who cares for him in her home. The daughter is interested in any
support available for her father, and she asks specific questions about palliative care and
hospice.
Which one of the following is needed to qualify for palliative care?
A) An advance directive
B) A do-not-resuscitate status
C) A life expectancy <6 months
D) Pain
E) Serious illness

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Adult Medicine,Management,,Foundations of Care,E,"Endsley S, Main R. Palliative care in advanced dementia. Am Fam Physician. 2019;99(7):456-458. | National Institute on Aging. End of life: frequently asked questions about palliative care. Updated February 8, 2021. | Walsh SC, Murphy E, Devane D, et al. Palliative care interventions in advanced dementia. Cochrane Database Syst Rev. 2021;9(9):CD011513."
Q2023-695,2023,"A 52-year-old male presents to your office because of increasing difficulty hearing conversations
in social settings over the past 6 months. On examination the finger rub test is positive on the
left ear. A Rinne test is positive on the left ear and negative on the right ear. A Weber test
lateralizes to the left ear.
Which one of the following is the most likely etiology of this patientâ€™s hearing loss?
A) Conductive hearing loss
B) Sensorineural hearing loss
C) Meniere disease
D) Ototoxic medication
E) Presbycusis

A) 
B) 
C) 
D) 
E) ",Special Sensory,Adult Medicine,Diagnosis,,Chronic Care Management,A,"Michels TC, Duffy MT, Rogers DJ. Hearing loss in adults: differential diagnosis and treatment. Am Fam Physician. 2019;100(2):98-108."
Q2023-696,2023,"A 45-year-old male with no past medical history presents to the urgent care clinic with hematuria
and left-sided intermittent flank and inguinal pain. He has mild nausea but does not have any
vomiting,  fever,  or  other  urinary  symptoms.  His  vital  signs  are  normal.  He  appears
uncomfortable, but a physical examination is otherwise unremarkable. A urinalysis shows RBCs
but no signs of infection. Same-day noncontrast CT shows a 3.5-mm left-sided ureteral stone.
This is his first kidney stone.
In addition to encouraging oral hydration and pain control with NSAIDs, which one of the
following would be appropriate in the management of this ureteral stone?
A) Observation only
B) Oral allopurinol (Zyloprim)
C) Oral cephalexin
D) Intravenous hydration with 2 L of lactated Ringer solution
E) Referral for surgical stone removal
36

A) 
B) 
C) 
D) 
E) ",Nephrologic,Emergent & Urgent Care,Treatment,,Acute Care and Diagnosis,A,"Frassetto L, Kohlstadt I. Treatment and prevention of kidney stones: an update. Am Fam Physician. 2011;84(11):1234-1242. | Pearle MS, Goldfarb DS, Assimos DG, et al. Medical management of kidney stones: AUA guideline. J Urol. 2014;192(2):316-324. | Fontenelle LF, Sarti TD. Kidney stones: treatment and prevention. Am Fam Physician. 2019;99(8):490-496."
Q2023-697,2023,"A 47-year-old male presents to your office concerned about his â€œuglyâ€ toenails. On examination
you note that all of his toenails are discolored, thickened, and brittle. He was evaluated by a
dermatologist and has been using topical ciclopirox 8% for 7 months. He does not recall any
allergies to any medications.
After confirming your suspected diagnosis with a sample from the affected toenails, which one
of the following would be the most appropriate oral pharmacotherapy?
A) Fluconazole (Diflucan)
B) Griseofulvin
C) Pulse dosing with itraconazole (Sporanox)
D) Continuous itraconazole
E) Terbinafine

A) 
B) 
C) 
D) 
E) ",Integumentary,Adult Medicine,Pharmacology,,Acute Care and Diagnosis,E,"Frazier WT, Santiago-Delgado ZM, Stupka KC 2nd. Onychomycosis: rapid evidence review. Am Fam Physician. 2021;104(4):359-367."
Q2023-698,2023,"A 45-year-old female presents with a 1-week history of pain at the base of her anterior neck
radiating to her right jaw. Prior to the onset of pain she had a sore throat, fever, and body aches.
These symptoms resolved and the neck pain started. She now reports palpitations and excessive
sweating.
Her vital signs include a pulse rate of 110 beats/min, a blood pressure of 140/83 mm Hg, and
a normal temperature. On examination she appears uncomfortable and diaphoretic. An HEENT
examination is unremarkable and you note no cervical lymphadenopathy. Her thyroid is tender
and mildly enlarged. A cardiac examination shows tachycardia with no murmurs.
Laboratory studies reveal a normal CBC, an erythrocyte sedimentation rate of 55 mm/hr (N
0â€“29), and a TSH level of 0.21  U/mL (N 0.5â€“5.0). Total T  and free T  levels are within the
3 4
normal range. You order a radioactive iodine uptake scan, which shows diffusely low iodine
uptake in her thyroid.
In addition to a  -blocker, which one of the following would be most appropriate at this point?
A) Ibuprofen, 800 mg three times daily
B) Levothyroxine (Synthroid), 50  g daily
C) Methimazole, 5 mg three times daily
D) Prednisone, 40 mg daily
E) Vancomycin, 20 mg/kg intravenously every 12 hours

A) 
B) 
C) 
D) 
E) ",Endocrine,Adult Medicine,Pharmacology,,Acute Care and Diagnosis,A,"Sencar ME, Calapkulu M, Sakiz D, et al. An evaluation of the results of the steroid and non-steroidal anti-inflammatory drug treatments in subacute thyroiditis in relation to persistent hypothyroidism and recurrence. Sci Rep. 2019;9(1):16899. | Martinez Quintero B, Yazbeck C, Sweeney LB. Thyroiditis: evaluation and treatment. Am Fam Physician. 2021;104(6):609-617."
Q2023-699,2023,"You recently initiated treatment for hypertension in a 65-year-old male. One week later his
creatinine level has increased from 1.2 to 2.4 mg/dL (N 0.6â€“1.2). You consider renal artery
stenosis as an etiology because you are treating his hypertension with which one of the following
medications?
A) Amlodipine (Norvasc)
B) Chlorthalidone
C) Lisinopril (Zestril)
D) Metoprolol
E) Spironolactone (Aldactone)
37

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Adult Medicine,Pharmacology,,Chronic Care Management,C,"Charles L, Triscott J, Dobbs B. Secondary hypertension: discovering the underlying cause. Am Fam Physician. 2017;96(7):453-461."
Q2023-700,2023,"Your office staff proposes a practice improvement project to create a transgender-friendly
clinical environment. Which one of the following interventions would help promote this goal?
A) Ensuring that intake forms and records use gender-neutral or inclusive language
B) Offering preventive services based on expressed gender only
C) Offering referral to a transgender clinic to all patients
D) Polling the staff to see if any of them are transgender

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Community Medicine,Management,,Preventive Care,A,"Klein DA, Paradise SL, Goodwin ET: Caring for transgender and gender-diverse persons: What clinicians should know. Am Fam Physician 2018;98(11):645-653."
Q2023-701,2023,"A 6-year-old female is brought to your office because of a 3-day history of productive cough,
fever, and chills. She has not had any shortness of breath, wheezing, sore throat, or rash. Her
past medical history is significant for mild intermittent asthma and seasonal allergies, treated
with albuterol (Proventil, Ventolin), fluticasone furoate (Flonase Sensimist), and cetirizine
(Childrenâ€™s Zyrtec Allergy). She is up to date on recommended vaccinations. Her vital signs
include a temperature of 39.0Â°C (102.2Â°F), a pulse rate of 98 beats/min, a respiratory rate of
25/min, and an oxygen saturation of 98% on room air. Her weight today is 20 kg (44 lb). A
pulmonary examination is notable for rhonchi in the right lung fields. A chest radiograph is
shown below. A rapid COVID-19 test is negative.
Which one of the following would be the most appropriate treatment?
A) Amoxicillin
B) Azithromycin (Zithromax)
C) Doxycycline
D) Levofloxacin
E) Oseltamivir (Tamiflu)

A) 
B) 
C) 
D) 
E) ",Respiratory,Adult Medicine,Prevention,,Acute Care and Diagnosis,A,"Bradley JS, Byington CL, Shah SS, et al. Executive summary: the management of community acquired pneumonia in infants and children older than 3 months of age: clinical practice guidelines by the Pediatric Infectious Diseases Society and the Infectious Diseases Society of America. Clin Infect Dis. 2011;53(7):617-630. | Smith DK, Kuckel DP, Recidoro AM. Community-acquired pneumonia in children: rapid evidence review. Am Fam Physician. 2021;104(6):618-625."
Q2023-702,2023,"A 63-year-old female presents with pain in her right hand. She states that for 3 months she has
experienced a catching sensation and her ring finger occasionally locks into a claw-like form.
On examination a nodule is palpated and her pain is localized to the volar surface of the
metacarpophalangeal  joint  on  her  ring  finger.  When  instructed  to  clench  her  fist  and
subsequently release, her ring finger remains in a flexed position.
Which one of the following is considered first-line treatment for this condition?
A) Buddy taping
B) Transcutaneous electrical nerve stimulation (TENS) unit therapy
C) Corticosteroid injection
D) Physical therapy
E) Surgical release
38
Item #101
39

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Adult Medicine,Treatment,,Chronic Care Management,C,"Nicholson CA, Alland JA. Tips for managing 4 common soft-tissue finger and thumb injuries. J Fam Pract. 2022;71(5):206-213."
Q2023-703,2023,"A 12-year-old female with Down syndrome is brought to your office by her parents to establish
care after recently moving to the area. Which one of the following laboratory studies should you
routinely check on an annual basis?
A) A TSH level only
B) A lipid panel only
C) A CBC with differential and a lipid panel
D) A CBC with differential, and TSH and IgA tissue transglutaminase (tTG) levels
E) A CBC with differential, and serum iron, total iron-binding capacity, and TSH levels

A) 
B) 
C) 
D) 
E) ",Nonspecific,Care of Children and Adolescents,Screening,,Acute Care and Diagnosis,E,"Bull MJ, Trotter T, Santoro SL, et al. Health supervision for children and adolescents with Down syndrome. Pediatrics. 2022;149(5):e2022057010."
